timestamp,symbol,direction,entry,sl,tp,pnl,outcome,close,ema8,ema20,ema50,rsi,atr,adx,volume_ratio,ema8_ema20_diff,close_ema20_diff,h1_trend,spread,bar_range,bar_body
2026-03-23T07:31:21.520198+00:00,BTCUSD,SELL,67674.83,67873.66,67078.33,-51.38,LOSS,67864.95,67875.329828,68064.584529,68209.419245,39.89,191.178958,49.9,0.45,-0.9899,-1.0442,SELL,1697,0.5072,0.3273
2026-03-23T09:41:39.544096+00:00,BTCUSD,SELL,68015.5,68170.56,67550.32,-2.14,LOSS,68145.1,68192.809831,68270.542105,68292.175689,43.28,155.601519,29.33,0.34,-0.4996,-0.8062,SELL,1697,0.6284,0.2428
2026-03-26T04:01:29.507387+00:00,BTCUSD,BUY,70896.0,70790.98,71211.06,-552.5,LOSS,70827.5,70824.570335,70859.598123,70971.7101,45.23,110.66132,36.96,0.27,-0.3165,-0.2901,SELL,3150,0.8133,0.3886
2026-03-26T11:01:29.755137+00:00,BTCUSD,SELL,69465.5,69581.67,69117.0,-667.5,LOSS,69514.5,69508.895087,69576.390633,69782.029786,42.39,113.803656,30.83,0.32,-0.5931,-0.5438,SELL,3150,0.6678,0.3954
2026-03-26T22:56:41.308749+00:00,BTCUSD,SELL,68688.5,68847.84,68194.47,-802.33,LOSS,68814.5,68789.202526,68821.77765,68819.816812,49.23,137.444973,17.94,0.23,-0.237,-0.0529,SELL,3150,0.4729,0.131
2026-03-26T23:38:05.740357+00:00,BTCUSD,SELL,68624.5,68757.15,68226.55,-677.5,LOSS,68728.5,68720.759835,68769.356452,68796.634508,46.55,132.793447,26.95,0.52,-0.366,-0.3077,SELL,3250,0.7832,0.738
2026-03-27T00:40:45.962059+00:00,BTCUSD,SELL,68603.5,68722.59,68246.22,-692.5,LOSS,68703.5,68698.224381,68734.515356,68769.388646,47.44,132.566818,35.52,0.16,-0.2738,-0.234,SELL,3150,1.4106,1.2145
2026-03-27T05:08:25.707722+00:00,BTCUSD,SELL,68537.5,68654.94,68185.17,-416.3,LOSS,68612.5,68545.462865,68582.550435,68676.973404,50.0,106.254103,15.14,0.59,-0.349,0.2819,SELL,3150,1.1576,0.8
2026-03-27T10:37:33.415142+00:00,BTCUSD,SELL,67707.5,67835.06,67324.82,2012.5,WIN,67296.5,67586.640912,67719.716539,68012.426504,27.98,155.830538,64.64,0.69,-0.854,-2.7159,SELL,3850,2.8043,2.1369
2026-03-28T16:32:03.827727+00:00,BTCUSD,BUY,67061.0,66946.3,67405.11,-577.5,LOSS,66943.5,66983.525091,66933.717855,66766.545338,53.78,105.182699,14.75,0.33,0.4735,0.093,BUY,3150,0.675,0.6655
2026-03-29T22:18:38.071168+00:00,BTCUSD,SELL,66210.5,66332.27,65845.19,-617.5,LOSS,66301.5,66400.998385,66460.308353,66452.383238,38.4,120.858263,25.44,1.12,-0.4907,-1.314,SELL,3150,0.9019,0.4964
2026-03-30T00:35:30.768386+00:00,BTCUSD,BUY,66603.0,66323.61,67441.16,-1397.5,LOSS,66357.5,66301.388218,66165.271408,66192.023679,55.44,273.854643,24.04,0.14,0.497,0.7019,BOTH,3150,0.4163,0.2556
2026-03-30T02:46:10.955067+00:00,BTCUSD,BUY,66617.0,66411.78,67224.66,2116.58,WIN,67293.5,66826.947885,66647.420155,66456.491921,73.74,205.219537,56.46,0.32,0.8748,3.1482,BUY,3850,1.9443,1.5739
