timestamp,symbol,direction,entry,sl,tp,pnl,outcome,close,ema8,ema20,ema50,rsi,atr,adx,volume_ratio,ema8_ema20_diff,close_ema20_diff,h1_trend,spread,bar_range,bar_body
2026-03-25T11:47:42.930030+00:00,EURUSD.i,BUY,1.1609099999999999,1.1602,1.16303,-1798.43,LOSS,1.15978,1.160348,1.160326,1.160223,43.17,0.000481,3.22,0.36,0.0454,-1.1349,BOTH,0,2.1625,1.809
2026-03-25T14:31:14.062927+00:00,EURUSD.i,SELL,1.15744,1.1584,1.15457,-1763.02,LOSS,1.15842,1.157897,1.158197,1.158958,49.91,0.000647,22.85,0.41,-0.4649,0.3442,SELL,1,0.4485,0.3093
2026-03-26T11:41:06.155713+00:00,EURUSD.i,SELL,1.15545,1.15599,1.15384,4367.93,WIN,1.15383,1.154507,1.155104,1.155524,21.4,0.000352,65.78,0.18,-1.6987,-3.6228,SELL,1,0.3128,0.3128
2026-03-26T13:00:03.532075+00:00,EURUSD.i,SELL,1.1529099999999999,1.15356,1.15096,-1615.02,LOSS,1.1535199999999999,1.153266,1.153524,1.154359,46.84,0.000441,32.12,0.03,-0.5835,-0.0081,SELL,0,0.1588,0.0454
2026-03-26T15:46:45.438790+00:00,EURUSD.i,SELL,1.1538,1.1547,1.1511,106.38,WIN,1.1538599999999999,1.154045,1.154267,1.154374,44.77,0.000612,37.58,0.41,-0.3633,-0.6656,SELL,1,1.0464,0.9156
2026-03-26T16:45:09.243543+00:00,EURUSD.i,SELL,1.1538599999999999,1.1547,1.15122,107.28,WIN,1.15374,1.153667,1.153878,1.154136,46.49,0.000504,23.2,0.02,-0.4192,-0.2747,SELL,2,0.1588,0.0794
2026-03-26T18:05:42.535096+00:00,EURUSD.i,SELL,1.15332,1.15399,1.15136,702.15,WIN,1.15297,1.152948,1.15324,1.153675,41.82,0.000381,21.34,0.05,-0.7676,-0.709,SELL,1,0.3677,0.2626
2026-03-26T20:11:42.324476+00:00,EURUSD.i,SELL,1.15244,1.15291,1.15103,90.36,WIN,1.15241,1.152315,1.152559,1.153015,44.16,0.000302,27.12,0.17,-0.8076,-0.4946,SELL,0,1.4891,1.4561
2026-03-27T09:26:51.763116+00:00,EURUSD.i,SELL,1.15181,1.15235,1.15019,-1446.66,LOSS,1.15238,1.15206,1.152172,1.152697,51.58,0.000385,7.88,0.5,-0.2905,0.5403,SELL,1,0.7014,0.6495
2026-03-27T13:52:06.048363+00:00,EURUSD.i,BUY,1.15249,1.15181,1.15452,459.14,WIN,1.15269,1.152552,1.15203,1.151822,61.12,0.000488,41.65,0.75,1.0711,1.3546,BOTH,0,1.0461,0.9436
2026-03-27T15:24:42.864458+00:00,EURUSD.i,BUY,1.15328,1.15252,1.15555,556.8,WIN,1.15368,1.153138,1.152904,1.152451,61.72,0.000608,34.37,1.47,0.3854,1.2763,BUY,1,3.1749,1.5463
2026-03-30T07:09:54.469408+00:00,EURUSD.i,SELL,1.1509,1.15135,1.14955,620.97,WIN,1.15069,1.151149,1.151341,1.151318,36.75,0.000333,43.38,2.04,-0.5767,-1.9565,SELL,1,1.2329,0.3007
2026-03-30T09:19:06.562685+00:00,EURUSD.i,SELL,1.14942,1.14998,1.14775,1301.44,WIN,1.1489099999999999,1.149239,1.149553,1.150154,34.75,0.000411,51.26,1.26,-0.7658,-1.5662,SELL,0,1.2901,0.3895
2026-03-30T11:26:49.147389+00:00,EURUSD.i,SELL,1.14898,1.14954,1.14714,-1425.64,LOSS,1.14977,1.149301,1.149282,1.149572,58.27,0.000384,10.33,0.31,0.0508,1.2698,SELL,2,1.6391,1.3529
2026-03-30T12:49:48.580708+00:00,EURUSD.i,SELL,1.14794,1.14867,1.14576,-1594.22,LOSS,1.14886,1.148389,1.148555,1.149018,52.6,0.000527,0.72,1.31,-0.3158,0.5782,SELL,0,1.9929,1.3096
2026-03-30T15:18:48.955861+00:00,EURUSD.i,SELL,1.1457,1.14644,1.14348,1408.9,WIN,1.14495,1.14563,1.14624,1.147253,31.41,0.000548,49.29,0.73,-1.1137,-2.3537,SELL,2,1.1679,0.6387
2026-03-30T16:47:42.217563+00:00,EURUSD.i,SELL,1.1451500000000001,1.14588,1.14295,-1438.83,LOSS,1.14589,1.145455,1.145519,1.146282,54.04,0.000427,4.7,0.24,-0.1479,0.8688,SELL,0,0.3743,0.2807
2026-03-31T10:54:48.115130+00:00,EURUSD.i,SELL,1.14642,1.14691,1.14494,288.53,WIN,1.14633,1.146436,1.146615,1.146754,42.94,0.000326,41.92,0.76,-0.5478,-0.8738,SELL,0,1.4724,1.1657
2026-03-31T11:28:22.818135+00:00,EURUSD.i,BUY,1.14691,1.14628,1.14881,1943.88,WIN,1.14773,1.14667,1.146572,1.146681,67.59,0.000506,54.91,1.32,0.1937,2.2866,BUY,0,3.1592,1.5993
2026-03-31T13:32:56.500570+00:00,EURUSD.i,BUY,1.15102,1.15012,1.15371,72.85,WIN,1.15107,1.151059,1.15031,1.148967,62.54,0.000621,56.36,1.18,1.2049,1.223,BUY,1,1.2876,0.5633
2026-04-01T08:48:48.088271+00:00,EURUSD.i,BUY,1.15889,1.15786,1.16197,1797.12,WIN,1.16033,1.160099,1.159362,1.158414,63.37,0.000668,54.43,0.61,1.1037,1.4503,BUY,0,1.1083,1.0634
2026-04-01T11:19:02.620967+00:00,EURUSD.i,BUY,1.16006,1.15919,1.16266,73.25,WIN,1.16012,1.160146,1.159858,1.159305,56.97,0.000468,29.66,0.49,0.6157,0.5594,BUY,0,0.9821,0.9181
2026-04-01T12:06:20.196151+00:00,EURUSD.i,BUY,1.16049,1.15984,1.16244,80.4,WIN,1.16054,1.160523,1.160247,1.159677,59.4,0.000408,29.58,0.29,0.6771,0.719,BUY,1,0.6866,0.613
2026-04-01T13:42:24.590151+00:00,EURUSD.i,BUY,1.16068,1.15976,1.16345,1184.22,WIN,1.16156,1.161409,1.160935,1.160312,58.13,0.00071,40.14,0.74,0.6674,0.8802,BUY,1,1.1555,1.0286
2026-04-01T20:32:01.796604+00:00,EURUSD.i,SELL,1.15824,1.15888,1.15633,-1222.4,LOSS,1.15885,1.158623,1.158611,1.159167,52.51,0.000327,7.55,0.15,0.0345,0.7294,BOTH,1,0.489,0.4278
2026-04-02T07:48:30.152130+00:00,EURUSD.i,SELL,1.15213,1.15295,1.14966,-1397.76,LOSS,1.15297,1.152716,1.152853,1.153441,50.27,0.000543,14.59,0.63,-0.2514,0.2159,SELL,0,1.1049,1.1049
2026-04-02T10:29:27.009042+00:00,EURUSD.i,SELL,1.1520299999999999,1.15262,1.15025,280.93,WIN,1.15188,1.151978,1.152301,1.152739,39.8,0.00039,30.16,0.85,-0.8266,-1.0776,SELL,1,0.8453,0.7429
2026-04-02T11:25:27.745047+00:00,EURUSD.i,SELL,1.1515900000000001,1.15216,1.14989,429.4,WIN,1.15139,1.1513,1.151597,1.152198,40.61,0.000332,26.3,0.11,-0.8962,-0.6246,SELL,1,0.4218,0.3314
2026-04-02T11:34:50.447890+00:00,EURUSD.i,SELL,1.15118,1.15169,1.14965,-1242.87,LOSS,1.1516899999999999,1.151345,1.151585,1.152169,48.97,0.000366,8.67,0.75,-0.6571,0.2857,SELL,0,1.7493,1.476
2026-04-02T17:00:03.222974+00:00,EURUSD.i,BUY,1.15477,1.15396,1.1572,-1208.48,LOSS,1.15392,1.154208,1.154304,1.153946,44.03,0.000518,17.13,0.01,-0.1849,-0.7418,SELL,2,0.0386,0.0
2026-04-03T14:00:51.268473+00:00,EURUSD.i,SELL,1.15311,1.15364,1.15151,-1064.88,LOSS,1.15365,1.153322,1.153419,1.153735,52.46,0.000354,9.39,0.23,-0.2727,0.6532,BOTH,1,0.4521,0.4521
2026-04-03T17:36:19.520213+00:00,EURUSD.i,SELL,1.15205,1.15242,1.15095,51.9,WIN,1.152,1.151957,1.152047,1.152421,43.44,0.000168,24.98,0.21,-0.5341,-0.2796,SELL,3,0.6542,0.5947
2026-04-03T18:43:07.946396+00:00,EURUSD.i,SELL,1.15176,1.15198,1.15111,344.97,WIN,1.1517,1.151796,1.151912,1.152207,39.91,0.000174,49.57,0.54,-0.6661,-1.2153,SELL,3,1.6072,1.5498
