asset,strategy,entry_time,exit_time,direction,bars_held,entry,exit,atr_entry,pnl_r,exit_reason
BTC,bollinger_reversion,2025-04-12 10:45:00+00:00,2025-04-12 11:00:00+00:00,BUY,3,83353.08,83445.88224974678,92.80224974677265,1.0,tp
BTC,bollinger_reversion,2025-04-12 12:20:00+00:00,2025-04-12 12:30:00+00:00,SELL,2,83668.76,83581.14776090006,87.61223909993375,1.0,tp
BTC,bollinger_reversion,2025-04-12 12:40:00+00:00,2025-04-12 12:50:00+00:00,SELL,2,83783.37,83643.25548738897,140.11451261102735,1.0,tp
BTC,bollinger_reversion,2025-04-12 13:10:00+00:00,2025-04-12 13:15:00+00:00,SELL,1,83946.58,83820.63436366824,125.94563633176541,1.0,tp
BTC,bollinger_reversion,2025-04-12 14:00:00+00:00,2025-04-12 14:05:00+00:00,SELL,1,84348.89,84608.92957109015,260.0395710901567,-1.0,sl
BTC,bollinger_reversion,2025-04-12 14:10:00+00:00,2025-04-12 14:20:00+00:00,SELL,2,84445.67,84716.57634450772,270.90634450771717,-1.0,sl
BTC,bollinger_reversion,2025-04-12 14:25:00+00:00,2025-04-12 14:30:00+00:00,SELL,1,84850.17,85144.20028115065,294.0302811506536,-1.0,sl
BTC,bollinger_reversion,2025-04-12 16:50:00+00:00,2025-04-12 17:10:00+00:00,BUY,4,84638.37,84462.23169955057,176.13830044942011,-1.0,sl
BTC,bollinger_reversion,2025-04-12 17:15:00+00:00,2025-04-12 17:30:00+00:00,BUY,3,84483.38,84644.96855075394,161.5885507539308,1.0,tp
BTC,bollinger_reversion,2025-04-12 18:55:00+00:00,2025-04-12 19:00:00+00:00,SELL,1,85124.75,85020.79425541344,103.95574458656647,1.0,tp
BTC,bollinger_reversion,2025-04-12 20:45:00+00:00,2025-04-12 20:55:00+00:00,SELL,2,85586.68,85395.93730727315,190.7426927268375,1.0,tp
BTC,bollinger_reversion,2025-04-12 23:15:00+00:00,2025-04-12 23:20:00+00:00,BUY,1,85318.39,85200.71266246474,117.67733753526589,-1.0,sl
