asset,strategy,entry_time,exit_time,direction,bars_held,entry,exit,atr_entry,pnl_r,exit_reason
BTC,cci_reversal,2025-04-12 10:25:00+00:00,2025-04-12 10:35:00+00:00,BUY,2,83434.99,83334.6881242453,100.30187575471712,-1.0,sl
BTC,cci_reversal,2025-04-12 10:55:00+00:00,2025-04-12 11:00:00+00:00,BUY,1,83386.26,83470.87813425424,84.61813425424334,1.0,tp
BTC,cci_reversal,2025-04-12 11:25:00+00:00,2025-04-12 11:35:00+00:00,SELL,2,83553.35,83461.34020377007,92.00979622993361,1.0,tp
BTC,cci_reversal,2025-04-12 12:30:00+00:00,2025-04-12 12:35:00+00:00,SELL,1,83660.07,83781.74612625729,121.67612625728476,-1.0,sl
BTC,cci_reversal,2025-04-12 12:50:00+00:00,2025-04-12 12:55:00+00:00,SELL,1,83673.47,83806.96463391672,133.49463391672737,-1.0,sl
BTC,cci_reversal,2025-04-12 13:15:00+00:00,2025-04-12 13:20:00+00:00,SELL,1,83778.55,83632.4237818458,146.1262181541971,1.0,tp
BTC,cci_reversal,2025-04-12 14:15:00+00:00,2025-04-12 14:20:00+00:00,SELL,1,84315.65,84571.29149857335,255.64149857335465,-1.0,sl
BTC,cci_reversal,2025-04-12 14:40:00+00:00,2025-04-12 15:10:00+00:00,SELL,6,84807.77,84648.16,280.1033504260706,0.5698253867981755,timeout
BTC,cci_reversal,2025-04-12 15:50:00+00:00,2025-04-12 16:10:00+00:00,SELL,4,85026.35,84805.27333789942,221.0766621005911,1.0,tp
BTC,cci_reversal,2025-04-12 17:25:00+00:00,2025-04-12 17:30:00+00:00,BUY,1,84570.79,84729.82246701073,159.0324670107296,1.0,tp
BTC,cci_reversal,2025-04-12 18:35:00+00:00,2025-04-12 18:40:00+00:00,SELL,1,84894.95,84999.60040333655,104.65040333654393,-1.0,sl
BTC,cci_reversal,2025-04-12 19:05:00+00:00,2025-04-12 19:15:00+00:00,SELL,2,85051.59,85167.94778148946,116.35778148946527,-1.0,sl_and_tp_same_bar
BTC,cci_reversal,2025-04-12 19:20:00+00:00,2025-04-12 19:30:00+00:00,SELL,2,85043.79,84911.7311952793,132.05880472069856,1.0,tp
BTC,cci_reversal,2025-04-12 19:55:00+00:00,2025-04-12 20:05:00+00:00,BUY,2,84885.17,85004.48893926837,119.31893926836793,1.0,tp
BTC,cci_reversal,2025-04-12 20:20:00+00:00,2025-04-12 20:25:00+00:00,SELL,1,85086.38,85220.05639995757,133.67639995755795,-1.0,sl
BTC,cci_reversal,2025-04-12 20:55:00+00:00,2025-04-12 21:05:00+00:00,SELL,2,85468.45,85273.42326635183,195.02673364815615,1.0,tp
BTC,cci_reversal,2025-04-12 22:25:00+00:00,2025-04-12 22:55:00+00:00,SELL,6,85427.19,85286.99,157.61859771104125,0.8894889437921705,timeout
BTC,cci_reversal,2025-04-12 23:05:00+00:00,2025-04-12 23:10:00+00:00,BUY,1,85353.39,85244.16348552998,109.22651447002771,-1.0,sl
BTC,cci_reversal,2025-04-12 23:40:00+00:00,2025-04-12 23:45:00+00:00,BUY,1,85262.27,85368.29208880394,106.02208880392857,1.0,tp
BTC,cci_reversal,2025-04-13 00:20:00+00:00,2025-04-13 00:25:00+00:00,SELL,1,85279.75,85171.06257070517,108.68742929483739,1.0,tp
BTC,cci_reversal,2025-04-13 00:40:00+00:00,2025-04-13 00:45:00+00:00,BUY,1,85213.39,85340.17196480178,126.78196480177691,1.0,tp
BTC,cci_reversal,2025-04-13 01:35:00+00:00,2025-04-13 01:45:00+00:00,SELL,2,85529.18,85308.48496245718,220.69503754281172,1.0,tp
BTC,cci_reversal,2025-04-13 02:40:00+00:00,2025-04-13 02:55:00+00:00,BUY,3,84988.45,85194.05085226682,205.60085226682247,1.0,tp
BTC,cci_reversal,2025-04-13 03:55:00+00:00,2025-04-13 04:00:00+00:00,SELL,1,85382.15,85233.36790678519,148.78209321479648,1.0,tp
BTC,cci_reversal,2025-04-13 05:00:00+00:00,2025-04-13 05:10:00+00:00,BUY,2,84638.17,84480.56626541323,157.60373458675937,-1.0,sl
BTC,cci_reversal,2025-04-13 05:15:00+00:00,2025-04-13 05:30:00+00:00,BUY,3,84493.46,84650.95911255915,157.49911255914324,1.0,tp
BTC,cci_reversal,2025-04-13 05:55:00+00:00,2025-04-13 06:05:00+00:00,BUY,2,84480.75,84637.82455186335,157.074551863347,1.0,tp
BTC,cci_reversal,2025-04-13 06:50:00+00:00,2025-04-13 07:20:00+00:00,SELL,6,84657.48,84641.76,129.81765216650476,0.12109293102788991,timeout
BTC,cci_reversal,2025-04-13 08:15:00+00:00,2025-04-13 08:20:00+00:00,BUY,1,84396.96,84495.64598618874,98.68598618873175,1.0,tp
BTC,cci_reversal,2025-04-13 09:05:00+00:00,2025-04-13 09:25:00+00:00,SELL,4,84564.46,84673.06415797575,108.60415797573816,-1.0,sl
BTC,cci_reversal,2025-04-13 10:05:00+00:00,2025-04-13 10:15:00+00:00,SELL,2,84743.45,84627.40980862112,116.04019137887613,1.0,tp
BTC,cci_reversal,2025-04-13 11:55:00+00:00,2025-04-13 12:05:00+00:00,BUY,2,84483.97,84345.73256074257,138.2374392574309,-1.0,sl
BTC,cci_reversal,2025-04-13 12:35:00+00:00,2025-04-13 13:00:00+00:00,BUY,5,84383.19,84534.10613041176,150.91613041176151,1.0,tp
BTC,cci_reversal,2025-04-13 14:10:00+00:00,2025-04-13 14:30:00+00:00,BUY,4,83733.78,83930.40787952975,196.6278795297553,1.0,tp
BTC,cci_reversal,2025-04-13 16:10:00+00:00,2025-04-13 16:20:00+00:00,SELL,2,84041.08,84206.31302904888,165.23302904888098,-1.0,sl
BTC,cci_reversal,2025-04-13 16:40:00+00:00,2025-04-13 17:00:00+00:00,SELL,4,84124.09,84291.48143394066,167.39143394066616,-1.0,sl
BTC,cci_reversal,2025-04-13 17:55:00+00:00,2025-04-13 18:15:00+00:00,SELL,4,84704.95,84533.65773132001,171.29226867998958,1.0,tp
BTC,cci_reversal,2025-04-13 19:25:00+00:00,2025-04-13 19:35:00+00:00,BUY,2,84443.77,84292.14701439784,151.6229856021638,-1.0,sl
BTC,cci_reversal,2025-04-13 19:55:00+00:00,2025-04-13 20:00:00+00:00,BUY,1,83943.39,84256.33920745537,312.9492074553756,1.0,tp
BTC,cci_reversal,2025-04-13 20:55:00+00:00,2025-04-13 21:00:00+00:00,BUY,1,83466.09,83159.1618602127,306.9281397873012,-1.0,sl
BTC,cci_reversal,2025-04-13 21:10:00+00:00,2025-04-13 21:20:00+00:00,BUY,2,83330.09,83629.9282468482,299.8382468482064,1.0,tp
BTC,cci_reversal,2025-04-13 22:30:00+00:00,2025-04-13 22:35:00+00:00,SELL,1,83535.0,83262.89085864168,272.1091413583183,1.0,tp
BTC,cci_reversal,2025-04-14 00:20:00+00:00,2025-04-14 00:40:00+00:00,SELL,4,83525.9,83318.23546269203,207.6645373079723,1.0,tp
BTC,cci_reversal,2025-04-14 01:45:00+00:00,2025-04-14 02:15:00+00:00,SELL,6,84457.9,84256.5,313.664914492793,0.6420864773022668,timeout
BTC,cci_reversal,2025-04-14 03:10:00+00:00,2025-04-14 03:20:00+00:00,BUY,2,84345.2,84566.01442908234,220.8144290823435,1.0,tp
BTC,cci_reversal,2025-04-14 03:55:00+00:00,2025-04-14 04:10:00+00:00,SELL,3,85087.5,84807.76676187392,279.7332381260722,1.0,tp
BTC,cci_reversal,2025-04-14 05:55:00+00:00,2025-04-14 06:05:00+00:00,SELL,2,84839.9,84682.50733578496,157.39266421503666,1.0,tp
BTC,cci_reversal,2025-04-14 06:50:00+00:00,2025-04-14 07:05:00+00:00,BUY,3,84517.6,84371.2210813759,146.37891862410362,-1.0,sl
BTC,cci_reversal,2025-04-14 07:10:00+00:00,2025-04-14 07:40:00+00:00,BUY,6,84396.1,84500.7,156.21701718168916,0.6695813419503177,timeout
BTC,cci_reversal,2025-04-14 08:10:00+00:00,2025-04-14 08:15:00+00:00,SELL,1,84265.9,84459.08532124471,193.18532124471238,-1.0,sl
BTC,cci_reversal,2025-04-14 09:10:00+00:00,2025-04-14 09:35:00+00:00,SELL,5,84495.6,84671.53720759625,175.93720759624495,-1.0,sl
BTC,cci_reversal,2025-04-14 10:15:00+00:00,2025-04-14 10:20:00+00:00,SELL,1,84757.6,84619.63580413283,137.96419586717542,1.0,tp
BTC,cci_reversal,2025-04-14 10:55:00+00:00,2025-04-14 11:05:00+00:00,BUY,2,84404.3,84268.25344374085,136.04655625914913,-1.0,sl
BTC,cci_reversal,2025-04-14 11:55:00+00:00,2025-04-14 12:00:00+00:00,SELL,1,84622.0,84480.66126901453,141.3387309854674,1.0,tp
BTC,cci_reversal,2025-04-14 12:20:00+00:00,2025-04-14 12:35:00+00:00,SELL,3,84742.6,84897.38506935808,154.7850693580751,-1.0,sl
BTC,cci_reversal,2025-04-14 12:40:00+00:00,2025-04-14 13:00:00+00:00,SELL,4,84785.4,84919.31330303082,133.9133030308316,-1.0,sl
BTC,cci_reversal,2025-04-14 13:05:00+00:00,2025-04-14 13:15:00+00:00,SELL,2,84849.9,84715.18593827524,134.71406172474298,1.0,tp
BTC,cci_reversal,2025-04-14 14:05:00+00:00,2025-04-14 14:15:00+00:00,SELL,2,84985.6,85149.88130171775,164.2813017177446,-1.0,sl
BTC,cci_reversal,2025-04-14 15:05:00+00:00,2025-04-14 15:20:00+00:00,BUY,3,84485.2,84759.92793341739,274.7279334173957,1.0,tp
BTC,cci_reversal,2025-04-14 16:00:00+00:00,2025-04-14 16:15:00+00:00,SELL,3,84764.0,84424.2422874461,339.75771255389964,1.0,tp
BTC,cci_reversal,2025-04-14 17:00:00+00:00,2025-04-14 17:10:00+00:00,BUY,2,84249.9,83895.03124632324,354.86875367675844,-1.0,sl
BTC,cci_reversal,2025-04-14 19:25:00+00:00,2025-04-14 19:45:00+00:00,SELL,4,84853.9,84678.9104119278,174.98958807218446,1.0,tp
BTC,cci_reversal,2025-04-14 20:15:00+00:00,2025-04-14 20:30:00+00:00,SELL,3,84968.3,84809.50970655007,158.79029344993228,1.0,tp
BTC,cci_reversal,2025-04-14 21:45:00+00:00,2025-04-14 22:15:00+00:00,BUY,6,84787.3,84838.4,142.6778470854062,0.3581495028405011,timeout
