asset,strategy,entry_time,exit_time,direction,bars_held,entry,exit,atr_entry,pnl_r,exit_reason
BTC,donchian_breakout_20,2025-04-12 10:15:00+00:00,2025-04-12 10:25:00+00:00,SELL,2,83356.67,83467.02729020598,110.35729020598099,-1.0,sl
BTC,donchian_breakout_20,2025-04-12 10:40:00+00:00,2025-04-12 10:55:00+00:00,SELL,3,83286.57,83376.91259586166,90.34259586166174,-1.0,sl
BTC,donchian_breakout_20,2025-04-12 12:15:00+00:00,2025-04-12 12:30:00+00:00,BUY,3,83685.89,83596.3235702693,89.56642973069224,-1.0,sl
BTC,donchian_breakout_20,2025-04-12 12:35:00+00:00,2025-04-12 12:40:00+00:00,BUY,1,83874.18,83740.03402391035,134.1459760896464,-1.0,sl
BTC,donchian_breakout_20,2025-04-12 13:05:00+00:00,2025-04-12 13:15:00+00:00,BUY,2,83959.39,83828.29580423258,131.09419576742226,-1.0,sl
BTC,donchian_breakout_20,2025-04-12 13:40:00+00:00,2025-04-12 13:45:00+00:00,BUY,1,84124.59,84370.06664600116,245.47664600115672,1.0,tp
BTC,donchian_breakout_20,2025-04-12 14:05:00+00:00,2025-04-12 14:15:00+00:00,BUY,2,84660.48,84384.90037172186,275.5796282781354,-1.0,sl
BTC,donchian_breakout_20,2025-04-12 14:20:00+00:00,2025-04-12 14:30:00+00:00,BUY,2,84855.15,85154.3326320969,299.18263209690895,1.0,tp
BTC,donchian_breakout_20,2025-04-12 16:45:00+00:00,2025-04-12 17:10:00+00:00,SELL,5,84593.38,84405.20965332759,188.17034667240665,1.0,tp
BTC,donchian_breakout_20,2025-04-12 18:25:00+00:00,2025-04-12 18:45:00+00:00,BUY,4,84937.36,85057.92556657232,120.56556657232072,1.0,tp
BTC,donchian_breakout_20,2025-04-12 18:50:00+00:00,2025-04-12 19:00:00+00:00,BUY,2,85137.36,85027.18644855396,110.17355144603923,-1.0,sl
BTC,donchian_breakout_20,2025-04-12 20:30:00+00:00,2025-04-12 20:40:00+00:00,BUY,2,85453.36,85604.36920707923,151.00920707923325,1.0,tp
BTC,donchian_breakout_20,2025-04-12 23:20:00+00:00,2025-04-12 23:45:00+00:00,SELL,5,85158.59,85283.4970258639,124.90702586389634,-1.0,sl
BTC,donchian_breakout_20,2025-04-13 00:30:00+00:00,2025-04-13 00:40:00+00:00,SELL,2,85097.96,85224.3816691148,126.42166911479057,-1.0,sl
BTC,donchian_breakout_20,2025-04-13 00:50:00+00:00,2025-04-13 01:05:00+00:00,BUY,3,85476.49,85614.49636467334,138.00636467333632,1.0,tp
BTC,donchian_breakout_20,2025-04-13 02:15:00+00:00,2025-04-13 02:25:00+00:00,SELL,2,84964.57,84737.45536344581,227.11463655419843,1.0,tp
BTC,donchian_breakout_20,2025-04-13 03:35:00+00:00,2025-04-13 03:50:00+00:00,BUY,3,85477.85,85634.74678754243,156.89678754242274,1.0,tp
BTC,donchian_breakout_20,2025-04-13 04:30:00+00:00,2025-04-13 04:55:00+00:00,SELL,5,84730.26,84535.52927880565,194.73072119433792,1.0,tp
BTC,donchian_breakout_20,2025-04-13 05:10:00+00:00,2025-04-13 05:20:00+00:00,SELL,2,84437.96,84602.73436064518,164.77436064516652,-1.0,sl
BTC,donchian_breakout_20,2025-04-13 05:45:00+00:00,2025-04-13 06:05:00+00:00,SELL,4,84418.69,84600.65659271748,181.96659271747342,-1.0,sl
BTC,donchian_breakout_20,2025-04-13 07:50:00+00:00,2025-04-13 08:00:00+00:00,SELL,2,84407.25,84305.54126252834,101.7087374716646,1.0,tp
