asset,strategy,entry_time,exit_time,direction,bars_held,entry,exit,atr_entry,pnl_r,exit_reason
BTC,ema_cross_3_8,2025-04-12 09:10:00+00:00,2025-04-12 09:40:00+00:00,SELL,6,83440.56,83524.87,149.33532146034554,-0.564568376560433,timeout
BTC,ema_cross_3_8,2025-04-12 09:45:00+00:00,2025-04-12 10:00:00+00:00,BUY,3,83578.46,83456.51387473743,121.94612526257139,-1.0,sl
BTC,ema_cross_3_8,2025-04-12 11:00:00+00:00,2025-04-12 11:05:00+00:00,BUY,1,83493.35,83586.72571635369,93.37571635367796,1.0,tp
BTC,ema_cross_3_8,2025-04-12 11:35:00+00:00,2025-04-12 12:00:00+00:00,SELL,5,83450.59,83536.5418025016,85.9518025015964,-1.0,sl
BTC,ema_cross_3_8,2025-04-12 12:05:00+00:00,2025-04-12 12:10:00+00:00,BUY,1,83548.07,83633.81299816218,85.74299816216592,1.0,tp
BTC,ema_cross_3_8,2025-04-12 13:20:00+00:00,2025-04-12 13:25:00+00:00,SELL,1,83627.59,83789.92205573364,162.33205573363725,-1.0,sl
BTC,ema_cross_3_8,2025-04-12 13:40:00+00:00,2025-04-12 13:45:00+00:00,BUY,1,84124.59,84370.06664600116,245.47664600115672,1.0,tp
BTC,ema_cross_3_8,2025-04-12 15:05:00+00:00,2025-04-12 15:15:00+00:00,SELL,2,84655.27,84897.59580044082,242.32580044081746,-1.0,sl
BTC,ema_cross_3_8,2025-04-12 15:55:00+00:00,2025-04-12 16:25:00+00:00,SELL,6,84967.57,84941.49,206.6931071538472,0.126177405522235,timeout
BTC,ema_cross_3_8,2025-04-12 17:30:00+00:00,2025-04-12 18:00:00+00:00,BUY,6,84673.69,84834.06080474264,160.37080474263325,1.0,tp
BTC,ema_cross_3_8,2025-04-12 19:25:00+00:00,2025-04-12 19:30:00+00:00,SELL,1,84997.96,84863.6517025754,134.30829742460642,1.0,tp
BTC,ema_cross_3_8,2025-04-12 20:05:00+00:00,2025-04-12 20:15:00+00:00,BUY,2,84991.67,85110.52466993935,118.85466993935175,1.0,tp
BTC,ema_cross_3_8,2025-04-12 21:05:00+00:00,2025-04-12 21:15:00+00:00,SELL,2,85262.59,85457.29967994017,194.70967994017076,-1.0,sl
BTC,ema_cross_3_8,2025-04-12 21:20:00+00:00,2025-04-12 21:30:00+00:00,BUY,2,85453.38,85279.46296686561,173.91703313438632,-1.0,sl
