asset,strategy,entry_time,exit_time,direction,bars_held,entry,exit,atr_entry,pnl_r,exit_reason
BTC,ema_trend_pullback,2025-04-12 14:50:00+00:00,2025-04-12 15:05:00+00:00,BUY,3,84959.85,84686.07743901332,273.7725609866934,-1.0,sl
BTC,ema_trend_pullback,2025-04-13 18:05:00+00:00,2025-04-13 18:15:00+00:00,BUY,2,84821.06,84644.8614515248,176.1985484751931,-1.0,sl
BTC,ema_trend_pullback,2025-04-14 02:05:00+00:00,2025-04-14 02:15:00+00:00,BUY,2,84559.9,84281.13912646264,278.76087353735545,-1.0,sl
BTC,ema_trend_pullback,2025-04-15 06:30:00+00:00,2025-04-15 06:35:00+00:00,BUY,1,85532.1,85650.86127800729,118.76127800728787,1.0,tp
BTC,ema_trend_pullback,2025-04-15 19:45:00+00:00,2025-04-15 19:50:00+00:00,SELL,1,84305.7,84155.27115044577,150.42884955422815,1.0,tp
BTC,ema_trend_pullback,2025-04-15 20:55:00+00:00,2025-04-15 21:10:00+00:00,SELL,3,83960.5,84089.07377254723,128.57377254723184,-1.0,sl
BTC,ema_trend_pullback,2025-04-16 17:00:00+00:00,2025-04-16 17:20:00+00:00,BUY,4,84959.1,84753.26386438105,205.8361356189595,-1.0,sl
BTC,ema_trend_pullback,2025-04-16 19:15:00+00:00,2025-04-16 19:25:00+00:00,SELL,2,83914.7,84305.81588830923,391.11588830923546,-1.0,sl
BTC,ema_trend_pullback,2025-04-17 07:05:00+00:00,2025-04-17 07:10:00+00:00,BUY,1,84449.9,84358.75673379382,91.14326620617115,-1.0,sl
BTC,ema_trend_pullback,2025-04-17 07:20:00+00:00,2025-04-17 07:25:00+00:00,BUY,1,84439.5,84534.22952766073,94.72952766072714,1.0,tp
BTC,ema_trend_pullback,2025-04-17 08:15:00+00:00,2025-04-17 08:25:00+00:00,BUY,2,84734.8,84850.00082711087,115.20082711085969,1.0,tp
BTC,ema_trend_pullback,2025-04-17 13:40:00+00:00,2025-04-17 14:00:00+00:00,BUY,4,84760.5,84640.25038561734,120.24961438266376,-1.0,sl
BTC,ema_trend_pullback,2025-04-18 05:30:00+00:00,2025-04-18 06:00:00+00:00,SELL,6,84647.3,84602.1,64.49212892959201,0.7008607213035761,timeout
BTC,ema_trend_pullback,2025-04-20 07:50:00+00:00,2025-04-20 07:55:00+00:00,SELL,1,84745.17,84833.43499984969,88.26499984968692,-1.0,sl
BTC,ema_trend_pullback,2025-04-20 11:15:00+00:00,2025-04-20 11:20:00+00:00,SELL,1,84111.48,83978.2188579188,133.26114208119617,1.0,tp
BTC,ema_trend_pullback,2025-04-21 03:05:00+00:00,2025-04-21 03:20:00+00:00,BUY,3,87191.4,87434.76083034265,243.36083034265877,1.0,tp
BTC,ema_trend_pullback,2025-04-21 03:50:00+00:00,2025-04-21 04:05:00+00:00,BUY,3,87300.7,87493.92214974316,193.222149743154,1.0,tp
BTC,ema_trend_pullback,2025-04-21 15:50:00+00:00,2025-04-21 16:20:00+00:00,BUY,6,88029.9,88082.6,305.5034683318406,0.17250213324180144,timeout
BTC,ema_trend_pullback,2025-04-21 18:35:00+00:00,2025-04-21 18:55:00+00:00,SELL,4,86979.2,86700.01290019133,279.18709980866475,1.0,tp
BTC,ema_trend_pullback,2025-04-22 23:50:00+00:00,2025-04-23 00:10:00+00:00,BUY,4,92796.1,93104.31048457054,308.2104845705365,1.0,tp
BTC,ema_trend_pullback,2025-04-23 00:55:00+00:00,2025-04-23 01:00:00+00:00,BUY,1,93404.9,93684.66326458108,279.76326458108406,1.0,tp
BTC,ema_trend_pullback,2025-04-23 01:10:00+00:00,2025-04-23 01:15:00+00:00,BUY,1,93436.1,93693.10737549175,257.00737549174494,1.0,tp
BTC,ema_trend_pullback,2025-04-23 18:40:00+00:00,2025-04-23 19:05:00+00:00,BUY,5,93740.0,93929.91377712913,189.91377712913447,1.0,tp
BTC,ema_trend_pullback,2025-04-24 05:25:00+00:00,2025-04-24 05:55:00+00:00,SELL,6,92679.1,92706.1,189.25539855300465,-0.14266435835614025,timeout
BTC,ema_trend_pullback,2025-04-25 04:25:00+00:00,2025-04-25 04:40:00+00:00,SELL,3,93082.1,93232.8539158513,150.7539158512951,-1.0,sl
BTC,ema_trend_pullback,2025-04-25 13:30:00+00:00,2025-04-25 13:40:00+00:00,BUY,2,94551.5,94767.31109284563,215.81109284562785,1.0,tp
BTC,ema_trend_pullback,2025-04-26 23:15:00+00:00,2025-04-26 23:35:00+00:00,BUY,4,94708.78,94593.05518666506,115.72481333493899,-1.0,sl
BTC,ema_trend_pullback,2025-04-27 23:45:00+00:00,2025-04-28 00:00:00+00:00,SELL,3,93910.1,93774.02114341315,136.07885658686405,1.0,tp
BTC,ema_trend_pullback,2025-04-28 00:40:00+00:00,2025-04-28 01:05:00+00:00,SELL,5,93668.8,93552.42121812781,116.37878187218453,1.0,tp
BTC,ema_trend_pullback,2025-04-28 06:05:00+00:00,2025-04-28 06:10:00+00:00,BUY,1,94031.9,94135.3633457728,103.46334577281056,1.0,tp
BTC,ema_trend_pullback,2025-04-28 09:10:00+00:00,2025-04-28 09:30:00+00:00,BUY,4,94667.1,94778.38541871299,111.285418712986,1.0,tp
BTC,ema_trend_pullback,2025-04-28 17:00:00+00:00,2025-04-28 17:10:00+00:00,SELL,2,93667.1,93465.53611968341,201.56388031658923,1.0,tp
BTC,ema_trend_pullback,2025-04-28 21:20:00+00:00,2025-04-28 21:30:00+00:00,BUY,2,94621.4,94509.83029424804,111.5697057519624,-1.0,sl
BTC,ema_trend_pullback,2025-04-29 00:50:00+00:00,2025-04-29 01:05:00+00:00,BUY,3,94977.5,94869.03857490234,108.46142509765606,-1.0,sl
BTC,ema_trend_pullback,2025-04-29 06:35:00+00:00,2025-04-29 07:00:00+00:00,SELL,5,94228.3,94349.16857612983,120.8685761298193,-1.0,sl
BTC,ema_trend_pullback,2025-04-29 22:45:00+00:00,2025-04-29 22:55:00+00:00,SELL,2,94496.1,94664.14229214986,168.04229214985014,-1.0,sl
BTC,ema_trend_pullback,2025-04-29 23:55:00+00:00,2025-04-30 00:05:00+00:00,SELL,2,94110.0,93954.04737787566,155.9526221243417,1.0,tp
BTC,ema_trend_pullback,2025-04-30 11:05:00+00:00,2025-04-30 11:35:00+00:00,BUY,6,94847.5,94929.31314747094,81.81314747094288,1.0,tp
BTC,ema_trend_pullback,2025-04-30 14:35:00+00:00,2025-04-30 14:40:00+00:00,SELL,1,94053.1,93830.35199291156,222.74800708845478,1.0,tp
BTC,ema_trend_pullback,2025-04-30 22:15:00+00:00,2025-04-30 22:30:00+00:00,BUY,3,94621.9,94488.32957711298,133.57042288701595,-1.0,sl
BTC,ema_trend_pullback,2025-05-01 02:40:00+00:00,2025-05-01 02:45:00+00:00,BUY,1,94659.9,94538.24605863288,121.65394136711332,-1.0,sl
BTC,ema_trend_pullback,2025-05-01 02:50:00+00:00,2025-05-01 03:05:00+00:00,BUY,3,94606.1,94722.95296040464,116.85296040463268,1.0,tp
BTC,ema_trend_pullback,2025-05-01 03:55:00+00:00,2025-05-01 04:05:00+00:00,BUY,2,94799.9,94904.75230799167,104.8523079916711,1.0,tp
BTC,ema_trend_pullback,2025-05-01 11:50:00+00:00,2025-05-01 12:20:00+00:00,BUY,6,96121.4,95925.4525599585,195.94744004148606,-1.0,sl
BTC,ema_trend_pullback,2025-05-01 13:20:00+00:00,2025-05-01 13:25:00+00:00,BUY,1,96318.0,96186.80692045703,131.19307954297017,-1.0,sl
BTC,ema_trend_pullback,2025-05-01 16:35:00+00:00,2025-05-01 16:55:00+00:00,BUY,4,97070.1,96826.47138279745,243.6286172025632,-1.0,sl
BTC,ema_trend_pullback,2025-05-02 06:50:00+00:00,2025-05-02 07:10:00+00:00,SELL,4,96614.4,96705.59063456467,91.19063456466552,-1.0,sl
BTC,ema_trend_pullback,2025-05-02 22:35:00+00:00,2025-05-02 23:05:00+00:00,SELL,6,96608.47,96616.68,107.41170950652872,-0.07643486951013315,timeout
BTC,ema_trend_pullback,2025-05-05 07:30:00+00:00,2025-05-05 07:40:00+00:00,BUY,2,94636.3,94719.29621019894,82.99621019894325,1.0,tp
BTC,ema_trend_pullback,2025-05-05 12:20:00+00:00,2025-05-05 12:25:00+00:00,SELL,1,94108.0,94023.65809595297,84.34190404703259,1.0,tp
BTC,ema_trend_pullback,2025-05-05 12:55:00+00:00,2025-05-05 13:00:00+00:00,SELL,1,93986.0,93889.76632375304,96.2336762469584,1.0,tp
BTC,ema_trend_pullback,2025-05-05 20:00:00+00:00,2025-05-05 20:15:00+00:00,BUY,3,94747.9,94853.31539819771,105.41539819770821,1.0,tp
BTC,ema_trend_pullback,2025-05-06 00:20:00+00:00,2025-05-06 00:25:00+00:00,BUY,1,95023.8,94919.83902115155,103.96097884845119,-1.0,sl
BTC,ema_trend_pullback,2025-05-06 02:05:00+00:00,2025-05-06 02:10:00+00:00,SELL,1,94484.6,94581.33361927369,96.7336192736775,-1.0,sl
BTC,ema_trend_pullback,2025-05-06 13:10:00+00:00,2025-05-06 13:30:00+00:00,SELL,4,93767.8,93861.74336468324,93.94336468323147,-1.0,sl
BTC,ema_trend_pullback,2025-05-06 16:55:00+00:00,2025-05-06 17:05:00+00:00,BUY,2,94513.1,94351.59652947857,161.50347052144136,-1.0,sl
BTC,ema_trend_pullback,2025-05-07 02:50:00+00:00,2025-05-07 02:55:00+00:00,BUY,1,97366.0,97206.10936013429,159.8906398657117,-1.0,sl
BTC,ema_trend_pullback,2025-05-07 04:40:00+00:00,2025-05-07 05:05:00+00:00,SELL,5,96452.4,96586.77115007691,134.3711500769113,-1.0,sl
