asset,strategy,entry_time,exit_time,direction,bars_held,entry,exit,atr_entry,pnl_r,exit_reason
BTC,macd_cross,2025-04-12 11:05:00+00:00,2025-04-12 11:15:00+00:00,BUY,2,83468.45,83572.67295417319,104.22295417318702,1.0,tp
BTC,macd_cross,2025-04-12 13:20:00+00:00,2025-04-12 13:25:00+00:00,SELL,1,83627.59,83789.92205573364,162.33205573363725,-1.0,sl
BTC,macd_cross,2025-04-12 13:40:00+00:00,2025-04-12 13:45:00+00:00,BUY,1,84124.59,84370.06664600116,245.47664600115672,1.0,tp
BTC,macd_cross,2025-04-12 15:05:00+00:00,2025-04-12 15:15:00+00:00,SELL,2,84655.27,84897.59580044082,242.32580044081746,-1.0,sl
BTC,macd_cross,2025-04-12 15:30:00+00:00,2025-04-12 15:55:00+00:00,BUY,5,85179.79,84954.40571307579,225.3842869242099,-1.0,sl
BTC,macd_cross,2025-04-12 17:40:00+00:00,2025-04-12 18:10:00+00:00,BUY,6,84808.39,84798.49,154.21389334002228,-0.06419655055440382,timeout
BTC,macd_cross,2025-04-12 19:30:00+00:00,2025-04-12 19:45:00+00:00,SELL,3,84939.05,84803.45347556534,135.59652443465905,1.0,tp
BTC,macd_cross,2025-04-12 20:15:00+00:00,2025-04-12 20:20:00+00:00,BUY,1,85161.06,85031.70569235666,129.35430764333546,-1.0,sl
BTC,macd_cross,2025-04-12 21:10:00+00:00,2025-04-12 21:15:00+00:00,SELL,1,85273.46,85458.16705594816,184.7070559481483,-1.0,sl
BTC,macd_cross,2025-04-13 00:05:00+00:00,2025-04-13 00:15:00+00:00,BUY,2,85350.47,85463.14883198457,112.67883198456136,1.0,tp
BTC,macd_cross,2025-04-13 00:25:00+00:00,2025-04-13 00:30:00+00:00,SELL,1,85141.66,85023.18422794448,118.4757720555265,1.0,tp
BTC,macd_cross,2025-04-13 00:50:00+00:00,2025-04-13 01:05:00+00:00,BUY,3,85476.49,85614.49636467334,138.00636467333632,1.0,tp
BTC,macd_cross,2025-04-13 01:45:00+00:00,2025-04-13 01:55:00+00:00,SELL,2,85362.97,85108.24492735673,254.72507264326617,1.0,tp
BTC,macd_cross,2025-04-13 02:55:00+00:00,2025-04-13 03:05:00+00:00,BUY,2,85243.46,85438.04248072006,194.58248072006234,1.0,tp
BTC,macd_cross,2025-04-13 04:05:00+00:00,2025-04-13 04:15:00+00:00,SELL,2,85088.67,84930.32362776311,158.3463722368911,1.0,tp
BTC,macd_cross,2025-04-13 05:35:00+00:00,2025-04-13 05:45:00+00:00,BUY,2,84656.96,84496.65820496195,160.30179503805783,-1.0,sl
BTC,macd_cross,2025-04-13 07:35:00+00:00,2025-04-13 08:00:00+00:00,SELL,5,84471.28,84363.47002778022,107.80997221978313,1.0,tp
BTC,macd_cross,2025-04-13 08:25:00+00:00,2025-04-13 08:45:00+00:00,BUY,4,84503.26,84604.39587407064,101.13587407064824,1.0,tp
BTC,macd_cross,2025-04-13 10:20:00+00:00,2025-04-13 10:30:00+00:00,SELL,2,84633.77,84515.77318801204,117.99681198796878,1.0,tp
BTC,macd_cross,2025-04-13 12:10:00+00:00,2025-04-13 12:20:00+00:00,BUY,2,84589.79,84444.3624165782,145.42758342180204,-1.0,sl
BTC,macd_cross,2025-04-13 12:25:00+00:00,2025-04-13 12:35:00+00:00,SELL,2,84232.76,84389.47721504523,156.71721504524416,-1.0,sl
BTC,macd_cross,2025-04-13 12:50:00+00:00,2025-04-13 13:20:00+00:00,BUY,6,84423.39,84280.9123530327,142.47764696730138,-1.0,sl
BTC,macd_cross,2025-04-13 13:25:00+00:00,2025-04-13 13:40:00+00:00,SELL,3,84047.67,83887.65122358315,160.01877641685095,1.0,tp
BTC,macd_cross,2025-04-13 14:30:00+00:00,2025-04-13 15:00:00+00:00,BUY,6,83955.46,83856.99,193.52764103208625,-0.5088162056585764,timeout
BTC,macd_cross,2025-04-13 18:10:00+00:00,2025-04-13 18:15:00+00:00,SELL,1,84735.57,84566.38325798817,169.1867420118341,1.0,tp
BTC,macd_cross,2025-04-13 20:15:00+00:00,2025-04-13 20:35:00+00:00,BUY,4,84255.37,83896.78404298009,358.5859570199129,-1.0,sl
BTC,macd_cross,2025-04-13 21:25:00+00:00,2025-04-13 21:35:00+00:00,BUY,2,83643.98,83372.72563901466,271.2543609853368,-1.0,sl
BTC,macd_cross,2025-04-13 21:40:00+00:00,2025-04-13 21:50:00+00:00,SELL,2,83238.07,83552.82425513623,314.75425513623327,-1.0,sl
BTC,macd_cross,2025-04-13 23:35:00+00:00,2025-04-13 23:40:00+00:00,SELL,1,83181.6,83410.30770679581,228.70770679580363,-1.0,sl
BTC,macd_cross,2025-04-13 23:50:00+00:00,2025-04-14 00:00:00+00:00,BUY,2,83390.8,83184.70025723545,206.0997427645559,-1.0,sl
BTC,macd_cross,2025-04-14 00:05:00+00:00,2025-04-14 00:10:00+00:00,BUY,1,83353.5,83580.63100291962,227.13100291962206,1.0,tp
BTC,macd_cross,2025-04-14 02:00:00+00:00,2025-04-14 02:30:00+00:00,SELL,6,84400.8,84527.2,263.87793100464086,-0.47900936436314245,timeout
BTC,macd_cross,2025-04-14 03:25:00+00:00,2025-04-14 03:30:00+00:00,BUY,1,84998.8,85250.21312613154,251.41312613152814,1.0,tp
