asset,strategy,entry_time,exit_time,direction,bars_held,entry,exit,atr_entry,pnl_r,exit_reason
BTC,macd_ema_confirm,2025-04-12 13:40:00+00:00,2025-04-12 13:45:00+00:00,BUY,1,84124.59,84370.06664600116,245.47664600115672,1.0,tp
BTC,macd_ema_confirm,2025-04-12 15:30:00+00:00,2025-04-12 15:55:00+00:00,BUY,5,85179.79,84954.40571307579,225.3842869242099,-1.0,sl
BTC,macd_ema_confirm,2025-04-12 20:15:00+00:00,2025-04-12 20:20:00+00:00,BUY,1,85161.06,85031.70569235666,129.35430764333546,-1.0,sl
BTC,macd_ema_confirm,2025-04-13 00:25:00+00:00,2025-04-13 00:30:00+00:00,SELL,1,85141.66,85023.18422794448,118.4757720555265,1.0,tp
BTC,macd_ema_confirm,2025-04-13 00:50:00+00:00,2025-04-13 01:05:00+00:00,BUY,3,85476.49,85614.49636467334,138.00636467333632,1.0,tp
BTC,macd_ema_confirm,2025-04-13 07:35:00+00:00,2025-04-13 08:00:00+00:00,SELL,5,84471.28,84363.47002778022,107.80997221978313,1.0,tp
BTC,macd_ema_confirm,2025-04-13 12:25:00+00:00,2025-04-13 12:35:00+00:00,SELL,2,84232.76,84389.47721504523,156.71721504524416,-1.0,sl
BTC,macd_ema_confirm,2025-04-13 13:25:00+00:00,2025-04-13 13:40:00+00:00,SELL,3,84047.67,83887.65122358315,160.01877641685095,1.0,tp
BTC,macd_ema_confirm,2025-04-13 20:35:00+00:00,2025-04-13 21:05:00+00:00,SELL,6,83428.07,83098.28452131466,329.785478685347,1.0,tp
BTC,macd_ema_confirm,2025-04-13 21:40:00+00:00,2025-04-13 21:50:00+00:00,SELL,2,83238.07,83552.82425513623,314.75425513623327,-1.0,sl
BTC,macd_ema_confirm,2025-04-13 23:35:00+00:00,2025-04-13 23:40:00+00:00,SELL,1,83181.6,83410.30770679581,228.70770679580363,-1.0,sl
BTC,macd_ema_confirm,2025-04-14 00:00:00+00:00,2025-04-14 00:10:00+00:00,SELL,2,83201.3,83426.31269567649,225.0126956764879,-1.0,sl
BTC,macd_ema_confirm,2025-04-14 03:25:00+00:00,2025-04-14 03:30:00+00:00,BUY,1,84998.8,85250.21312613154,251.41312613152814,1.0,tp
BTC,macd_ema_confirm,2025-04-14 05:35:00+00:00,2025-04-14 05:45:00+00:00,BUY,2,84879.5,85057.66013535543,178.160135355425,1.0,tp
BTC,macd_ema_confirm,2025-04-14 08:35:00+00:00,2025-04-14 08:55:00+00:00,SELL,4,84398.9,84584.14224405716,185.2422440571702,-1.0,sl
BTC,macd_ema_confirm,2025-04-14 13:25:00+00:00,2025-04-14 13:40:00+00:00,BUY,3,84994.8,85150.86058502558,156.0605850255878,1.0,tp
BTC,macd_ema_confirm,2025-04-14 22:30:00+00:00,2025-04-14 22:35:00+00:00,SELL,1,84670.0,84552.33503506272,117.66496493728486,1.0,tp
BTC,macd_ema_confirm,2025-04-14 23:55:00+00:00,2025-04-15 00:05:00+00:00,SELL,2,84456.2,84573.44439492679,117.24439492679757,-1.0,sl
BTC,macd_ema_confirm,2025-04-15 00:50:00+00:00,2025-04-15 01:00:00+00:00,SELL,2,84454.5,84575.01869184988,120.51869184988264,-1.0,sl
BTC,macd_ema_confirm,2025-04-15 04:00:00+00:00,2025-04-15 04:20:00+00:00,BUY,4,85081.9,85263.53155285362,181.6315528536265,1.0,tp
BTC,macd_ema_confirm,2025-04-15 05:55:00+00:00,2025-04-15 06:00:00+00:00,BUY,1,85452.2,85576.98319440006,124.78319440006867,1.0,tp
BTC,macd_ema_confirm,2025-04-15 08:20:00+00:00,2025-04-15 08:35:00+00:00,BUY,3,85718.9,85601.81465702096,117.08534297903502,-1.0,sl
BTC,macd_ema_confirm,2025-04-15 09:40:00+00:00,2025-04-15 09:55:00+00:00,BUY,3,85834.0,85724.17220326613,109.82779673386057,-1.0,sl
BTC,macd_ema_confirm,2025-04-15 10:55:00+00:00,2025-04-15 11:00:00+00:00,BUY,1,85954.9,85841.51153187823,113.38846812176759,-1.0,sl
BTC,macd_ema_confirm,2025-04-15 16:35:00+00:00,2025-04-15 16:45:00+00:00,SELL,2,84899.9,84685.8297294417,214.07027055829425,1.0,tp
BTC,macd_ema_confirm,2025-04-15 18:25:00+00:00,2025-04-15 18:50:00+00:00,SELL,5,84690.7,84539.98657672101,150.7134232789877,1.0,tp
BTC,macd_ema_confirm,2025-04-15 19:50:00+00:00,2025-04-15 20:10:00+00:00,SELL,4,84165.9,84013.18166371966,152.7183362803299,1.0,tp
BTC,macd_ema_confirm,2025-04-15 23:10:00+00:00,2025-04-15 23:40:00+00:00,SELL,6,83882.2,83940.0,152.6905264719189,-0.3785434586908234,timeout
BTC,macd_ema_confirm,2025-04-16 01:40:00+00:00,2025-04-16 01:50:00+00:00,SELL,2,83340.0,83187.53776591292,152.4622340870848,1.0,tp
BTC,macd_ema_confirm,2025-04-16 06:20:00+00:00,2025-04-16 06:35:00+00:00,SELL,3,83260.3,83406.40897825419,146.10897825417868,-1.0,sl
BTC,macd_ema_confirm,2025-04-16 08:20:00+00:00,2025-04-16 08:50:00+00:00,SELL,6,83355.0,83380.8,107.21047877362246,-0.24064811849670256,timeout
BTC,macd_ema_confirm,2025-04-16 11:15:00+00:00,2025-04-16 11:45:00+00:00,BUY,6,83887.9,83887.6,132.65785847171423,-0.002261456678439638,timeout
BTC,macd_ema_confirm,2025-04-16 12:45:00+00:00,2025-04-16 13:05:00+00:00,BUY,4,84075.2,83960.49578444751,114.70421555248015,-1.0,sl
BTC,macd_ema_confirm,2025-04-16 13:15:00+00:00,2025-04-16 13:25:00+00:00,BUY,2,84042.5,84152.25421622313,109.75421622313249,1.0,tp
BTC,macd_ema_confirm,2025-04-16 14:55:00+00:00,2025-04-16 15:00:00+00:00,SELL,1,83716.6,83934.16836639863,217.56836639862615,-1.0,sl
BTC,macd_ema_confirm,2025-04-16 18:05:00+00:00,2025-04-16 18:15:00+00:00,BUY,2,85106.9,85285.93748086685,179.03748086685837,1.0,tp
BTC,macd_ema_confirm,2025-04-16 22:10:00+00:00,2025-04-16 22:15:00+00:00,BUY,1,84412.8,84561.2471336805,148.44713368049344,1.0,tp
BTC,macd_ema_confirm,2025-04-16 22:50:00+00:00,2025-04-16 23:00:00+00:00,BUY,2,84604.0,84466.26750662239,137.73249337761737,-1.0,sl
BTC,macd_ema_confirm,2025-04-17 04:15:00+00:00,2025-04-17 04:25:00+00:00,SELL,2,83979.5,83871.99175517756,107.50824482244747,1.0,tp
BTC,macd_ema_confirm,2025-04-17 08:25:00+00:00,2025-04-17 08:30:00+00:00,BUY,1,84891.5,85012.74328791883,121.24328791882382,1.0,tp
BTC,macd_ema_confirm,2025-04-17 11:10:00+00:00,2025-04-17 11:20:00+00:00,SELL,2,84198.3,84288.7970015327,90.49700153270456,-1.0,sl
BTC,macd_ema_confirm,2025-04-17 22:50:00+00:00,2025-04-17 23:05:00+00:00,BUY,3,85031.93,84942.6784814595,89.25151854048943,-1.0,sl
BTC,macd_ema_confirm,2025-04-18 01:30:00+00:00,2025-04-18 01:45:00+00:00,SELL,3,84831.47,84751.31958901032,80.15041098967262,1.0,tp
BTC,macd_ema_confirm,2025-04-18 03:55:00+00:00,2025-04-18 04:00:00+00:00,SELL,1,84854.1,84790.17319834659,63.926801653412255,1.0,tp
BTC,macd_ema_confirm,2025-04-18 05:05:00+00:00,2025-04-18 05:15:00+00:00,SELL,2,84658.9,84590.37436982138,68.52563017861888,1.0,tp
BTC,macd_ema_confirm,2025-04-18 06:05:00+00:00,2025-04-18 06:10:00+00:00,SELL,1,84579.7,84520.84289786378,58.857102136215524,1.0,tp
BTC,macd_ema_confirm,2025-04-18 07:35:00+00:00,2025-04-18 07:50:00+00:00,SELL,3,84566.9,84633.93558662306,67.0355866230645,-1.0,sl
BTC,macd_ema_confirm,2025-04-18 08:15:00+00:00,2025-04-18 08:20:00+00:00,SELL,1,84499.9,84431.27056429464,68.62943570535332,1.0,tp
BTC,macd_ema_confirm,2025-04-18 11:50:00+00:00,2025-04-18 12:00:00+00:00,SELL,2,84486.6,84432.29242534724,54.30757465276359,1.0,tp
BTC,macd_ema_confirm,2025-04-18 16:20:00+00:00,2025-04-18 16:25:00+00:00,SELL,1,84403.2,84335.47604723586,67.72395276413131,1.0,tp
BTC,macd_ema_confirm,2025-04-18 18:20:00+00:00,2025-04-18 18:30:00+00:00,SELL,2,84380.0,84437.10689471805,57.10689471805238,-1.0,sl
BTC,macd_ema_confirm,2025-04-18 23:05:00+00:00,2025-04-18 23:10:00+00:00,SELL,1,84365.26,84316.75958411288,48.50041588712221,1.0,tp
BTC,macd_ema_confirm,2025-04-19 00:20:00+00:00,2025-04-19 00:25:00+00:00,SELL,1,84333.46,84408.09093896039,74.6309389603861,-1.0,sl
BTC,macd_ema_confirm,2025-04-19 04:15:00+00:00,2025-04-19 04:30:00+00:00,BUY,3,84933.46,85087.86221840311,154.40221840311273,1.0,tp
BTC,macd_ema_confirm,2025-04-19 07:20:00+00:00,2025-04-19 07:25:00+00:00,BUY,1,85043.79,85153.07763561959,109.28763561959843,1.0,tp
BTC,macd_ema_confirm,2025-04-19 11:45:00+00:00,2025-04-19 11:50:00+00:00,BUY,1,85378.96,85286.53886902783,92.42113097217927,-1.0,sl
BTC,macd_ema_confirm,2025-04-19 12:25:00+00:00,2025-04-19 12:30:00+00:00,SELL,1,85154.99,85256.87319890893,101.8831989089232,-1.0,sl
BTC,macd_ema_confirm,2025-04-19 13:00:00+00:00,2025-04-19 13:20:00+00:00,BUY,4,85247.35,85151.18321158133,96.16678841866903,-1.0,sl_and_tp_same_bar
BTC,macd_ema_confirm,2025-04-19 13:55:00+00:00,2025-04-19 14:25:00+00:00,BUY,6,85426.99,85296.4649695802,130.5250304197988,-1.0,sl
BTC,macd_ema_confirm,2025-04-19 15:20:00+00:00,2025-04-19 15:30:00+00:00,BUY,2,85448.28,85360.09245783795,88.18754216205465,-1.0,sl_and_tp_same_bar
BTC,macd_ema_confirm,2025-04-20 00:00:00+00:00,2025-04-20 00:25:00+00:00,SELL,5,85002.96,85196.30686293797,193.34686293796298,-1.0,sl
BTC,macd_ema_confirm,2025-04-20 00:40:00+00:00,2025-04-20 01:10:00+00:00,SELL,6,85065.38,85175.94828407693,110.56828407692522,-1.0,sl
BTC,macd_ema_confirm,2025-04-20 02:40:00+00:00,2025-04-20 02:45:00+00:00,BUY,1,85225.56,85133.11673791097,92.44326208903053,-1.0,sl
BTC,macd_ema_confirm,2025-04-20 03:55:00+00:00,2025-04-20 04:05:00+00:00,SELL,2,85110.07,85214.6157477988,104.54574779879339,-1.0,sl
BTC,macd_ema_confirm,2025-04-20 05:15:00+00:00,2025-04-20 05:25:00+00:00,SELL,2,85116.48,85172.70061422893,56.22061422894142,-1.0,sl
