asset,strategy,entry_time,exit_time,direction,bars_held,entry,exit,atr_entry,pnl_r,exit_reason
BTC,rsi_reversal_30_70,2025-04-12 12:40:00+00:00,2025-04-12 12:50:00+00:00,SELL,2,83783.37,83643.25548738897,140.11451261102735,1.0,tp
BTC,rsi_reversal_30_70,2025-04-12 14:00:00+00:00,2025-04-12 14:05:00+00:00,SELL,1,84348.89,84608.92957109015,260.0395710901567,-1.0,sl
BTC,rsi_reversal_30_70,2025-04-12 14:10:00+00:00,2025-04-12 14:20:00+00:00,SELL,2,84445.67,84716.57634450772,270.90634450771717,-1.0,sl
BTC,rsi_reversal_30_70,2025-04-12 14:40:00+00:00,2025-04-12 15:10:00+00:00,SELL,6,84807.77,84648.16,280.1033504260706,0.5698253867981755,timeout
BTC,rsi_reversal_30_70,2025-04-12 20:45:00+00:00,2025-04-12 20:55:00+00:00,SELL,2,85586.68,85395.93730727315,190.7426927268375,1.0,tp
BTC,rsi_reversal_30_70,2025-04-13 05:15:00+00:00,2025-04-13 05:30:00+00:00,BUY,3,84493.46,84650.95911255915,157.49911255914324,1.0,tp
BTC,rsi_reversal_30_70,2025-04-13 13:45:00+00:00,2025-04-13 13:50:00+00:00,BUY,1,83793.49,83617.94315963968,175.54684036033,-1.0,sl
BTC,rsi_reversal_30_70,2025-04-13 14:00:00+00:00,2025-04-13 14:30:00+00:00,BUY,6,83775.39,83978.96392245086,203.57392245085674,1.0,tp
BTC,rsi_reversal_30_70,2025-04-13 17:25:00+00:00,2025-04-13 17:45:00+00:00,SELL,4,84673.37,84854.4142620317,181.04426203170468,-1.0,sl
BTC,rsi_reversal_30_70,2025-04-13 19:45:00+00:00,2025-04-13 20:00:00+00:00,BUY,3,83757.08,84083.10361939325,326.0236193932522,1.0,tp
BTC,rsi_reversal_30_70,2025-04-13 21:05:00+00:00,2025-04-13 21:20:00+00:00,BUY,3,83180.48,83485.04566944024,304.565669440238,1.0,tp
BTC,rsi_reversal_30_70,2025-04-14 01:45:00+00:00,2025-04-14 02:15:00+00:00,SELL,6,84457.9,84256.5,313.664914492793,0.6420864773022668,timeout
BTC,rsi_reversal_30_70,2025-04-14 03:35:00+00:00,2025-04-14 03:45:00+00:00,SELL,2,85043.7,85359.18185918324,315.48185918323856,-1.0,sl
BTC,rsi_reversal_30_70,2025-04-14 15:50:00+00:00,2025-04-14 15:55:00+00:00,SELL,1,85697.9,85424.95629985427,272.9437001457244,1.0,tp
BTC,rsi_reversal_30_70,2025-04-15 06:05:00+00:00,2025-04-15 06:15:00+00:00,SELL,2,85500.0,85633.75182157161,133.75182157160503,-1.0,sl
BTC,rsi_reversal_30_70,2025-04-15 06:25:00+00:00,2025-04-15 06:35:00+00:00,SELL,2,85511.6,85637.10916693149,125.50916693148689,-1.0,sl
BTC,rsi_reversal_30_70,2025-04-15 09:20:00+00:00,2025-04-15 09:30:00+00:00,SELL,2,85846.6,85741.94530269768,104.65469730232535,1.0,tp
BTC,rsi_reversal_30_70,2025-04-15 14:50:00+00:00,2025-04-15 14:55:00+00:00,SELL,1,85916.2,85622.28507371714,293.9149262828513,1.0,tp
BTC,rsi_reversal_30_70,2025-04-15 19:05:00+00:00,2025-04-15 19:15:00+00:00,BUY,2,84513.1,84357.80807404732,155.29192595268916,-1.0,sl
BTC,rsi_reversal_30_70,2025-04-15 19:25:00+00:00,2025-04-15 19:45:00+00:00,BUY,4,84271.7,84437.10078809154,165.40078809154923,1.0,tp
BTC,rsi_reversal_30_70,2025-04-15 20:05:00+00:00,2025-04-15 20:35:00+00:00,BUY,6,84100.3,84031.8,138.3441732764099,-0.49514192305835586,timeout
BTC,rsi_reversal_30_70,2025-04-15 20:50:00+00:00,2025-04-15 20:55:00+00:00,BUY,1,84058.6,83940.7379547532,117.86204524680643,-1.0,sl
BTC,rsi_reversal_30_70,2025-04-16 01:20:00+00:00,2025-04-16 01:40:00+00:00,BUY,4,83456.5,83305.47679350658,151.02320649342528,-1.0,sl
BTC,rsi_reversal_30_70,2025-04-16 02:00:00+00:00,2025-04-16 02:05:00+00:00,BUY,1,83254.8,83402.90924380763,148.1092438076262,1.0,tp
BTC,rsi_reversal_30_70,2025-04-16 16:30:00+00:00,2025-04-16 17:00:00+00:00,SELL,6,84853.0,84959.1,249.58889586985805,-0.4250990398840862,timeout
BTC,rsi_reversal_30_70,2025-04-16 19:00:00+00:00,2025-04-16 19:10:00+00:00,BUY,2,83741.0,84112.32850388878,371.32850388878956,1.0,tp
BTC,rsi_reversal_30_70,2025-04-17 06:25:00+00:00,2025-04-17 06:30:00+00:00,SELL,1,84236.8,84314.32548662942,77.525486629411,-1.0,sl
BTC,rsi_reversal_30_70,2025-04-17 06:40:00+00:00,2025-04-17 06:45:00+00:00,SELL,1,84364.2,84444.8005019629,80.60050196290568,-1.0,sl
BTC,rsi_reversal_30_70,2025-04-17 06:50:00+00:00,2025-04-17 07:00:00+00:00,SELL,2,84350.0,84266.21651185898,83.78348814102573,1.0,tp
BTC,rsi_reversal_30_70,2025-04-17 08:05:00+00:00,2025-04-17 08:20:00+00:00,SELL,3,84640.8,84760.99400059138,120.19400059137887,-1.0,sl
