asset,strategy,entry_time,exit_time,direction,bars_held,entry,exit,atr_entry,pnl_r,exit_reason
BTC,stoch_reversal,2025-04-12 09:20:00+00:00,2025-04-12 09:50:00+00:00,BUY,6,83493.38,83483.26,133.8619081191027,-0.07560029691946192,timeout
BTC,stoch_reversal,2025-04-12 12:20:00+00:00,2025-04-12 12:30:00+00:00,SELL,2,83668.76,83581.14776090006,87.61223909993375,1.0,tp
BTC,stoch_reversal,2025-04-12 12:40:00+00:00,2025-04-12 12:50:00+00:00,SELL,2,83783.37,83643.25548738897,140.11451261102735,1.0,tp
BTC,stoch_reversal,2025-04-12 13:10:00+00:00,2025-04-12 13:15:00+00:00,SELL,1,83946.58,83820.63436366824,125.94563633176541,1.0,tp
BTC,stoch_reversal,2025-04-12 13:55:00+00:00,2025-04-12 14:05:00+00:00,SELL,2,84406.47,84674.97719741172,268.50719741171923,-1.0,sl
BTC,stoch_reversal,2025-04-12 14:10:00+00:00,2025-04-12 14:20:00+00:00,SELL,2,84445.67,84716.57634450772,270.90634450771717,-1.0,sl
BTC,stoch_reversal,2025-04-12 14:30:00+00:00,2025-04-12 14:45:00+00:00,SELL,3,84998.69,84689.72908966943,308.96091033056575,1.0,tp
BTC,stoch_reversal,2025-04-12 16:35:00+00:00,2025-04-12 16:40:00+00:00,BUY,1,84882.16,84697.73024851308,184.42975148693102,-1.0,sl
BTC,stoch_reversal,2025-04-12 16:50:00+00:00,2025-04-12 17:10:00+00:00,BUY,4,84638.37,84462.23169955057,176.13830044942011,-1.0,sl
BTC,stoch_reversal,2025-04-12 17:15:00+00:00,2025-04-12 17:30:00+00:00,BUY,3,84483.38,84644.96855075394,161.5885507539308,1.0,tp
BTC,stoch_reversal,2025-04-12 18:05:00+00:00,2025-04-12 18:15:00+00:00,SELL,2,84784.05,84918.78052231098,134.73052231097608,-1.0,sl
BTC,stoch_reversal,2025-04-12 18:30:00+00:00,2025-04-12 18:45:00+00:00,SELL,3,84918.97,85030.36815769601,111.39815769601098,-1.0,sl
BTC,stoch_reversal,2025-04-12 19:45:00+00:00,2025-04-12 20:05:00+00:00,BUY,4,84884.95,85014.81450494309,129.86450494309318,1.0,tp
BTC,stoch_reversal,2025-04-12 20:40:00+00:00,2025-04-12 20:45:00+00:00,SELL,1,85749.06,85562.94766223826,186.11233776173611,1.0,tp
BTC,stoch_reversal,2025-04-12 23:35:00+00:00,2025-04-12 23:45:00+00:00,BUY,2,85189.37,85297.50010246606,108.13010246607034,1.0,tp
BTC,stoch_reversal,2025-04-13 00:15:00+00:00,2025-04-13 00:20:00+00:00,SELL,1,85418.86,85317.09296619827,101.76703380173572,1.0,tp
BTC,stoch_reversal,2025-04-13 01:00:00+00:00,2025-04-13 01:05:00+00:00,SELL,1,85420.19,85545.31086946576,125.12086946575116,-1.0,sl
BTC,stoch_reversal,2025-04-13 02:00:00+00:00,2025-04-13 02:15:00+00:00,BUY,3,85263.46,85033.18142086008,230.27857913992665,-1.0,sl
BTC,stoch_reversal,2025-04-13 02:30:00+00:00,2025-04-13 02:40:00+00:00,BUY,2,84825.89,85044.73373822506,218.84373822505984,1.0,tp
