asset,strategy,entry_time,exit_time,direction,bars_held,entry,exit,atr_entry,pnl_r,exit_reason
BTC,williams_reversal,2025-04-12 09:30:00+00:00,2025-04-12 09:45:00+00:00,BUY,3,83480.97,83613.78343320946,132.8134332094593,1.0,tp
BTC,williams_reversal,2025-04-12 10:20:00+00:00,2025-04-12 10:40:00+00:00,BUY,4,83415.26,83308.71168182147,106.54831817851795,-1.0,sl
BTC,williams_reversal,2025-04-12 10:45:00+00:00,2025-04-12 11:00:00+00:00,BUY,3,83353.08,83445.88224974678,92.80224974677265,1.0,tp
BTC,williams_reversal,2025-04-12 11:05:00+00:00,2025-04-12 11:15:00+00:00,SELL,2,83468.45,83572.67295417319,104.22295417318702,-1.0,sl
BTC,williams_reversal,2025-04-12 11:20:00+00:00,2025-04-12 11:35:00+00:00,SELL,3,83536.37,83441.05100435007,95.3189956499234,1.0,tp
BTC,williams_reversal,2025-04-12 12:30:00+00:00,2025-04-12 12:35:00+00:00,SELL,1,83660.07,83781.74612625729,121.67612625728476,-1.0,sl
BTC,williams_reversal,2025-04-12 12:45:00+00:00,2025-04-12 13:05:00+00:00,SELL,4,83710.48,83848.34457759622,137.86457759622442,-1.0,sl
BTC,williams_reversal,2025-04-12 13:15:00+00:00,2025-04-12 13:20:00+00:00,SELL,1,83778.55,83632.4237818458,146.1262181541971,1.0,tp
BTC,williams_reversal,2025-04-12 13:55:00+00:00,2025-04-12 14:05:00+00:00,SELL,2,84406.47,84674.97719741172,268.50719741171923,-1.0,sl
BTC,williams_reversal,2025-04-12 14:10:00+00:00,2025-04-12 14:20:00+00:00,SELL,2,84445.67,84716.57634450772,270.90634450771717,-1.0,sl
BTC,williams_reversal,2025-04-12 14:40:00+00:00,2025-04-12 15:10:00+00:00,SELL,6,84807.77,84648.16,280.1033504260706,0.5698253867981755,timeout
BTC,williams_reversal,2025-04-12 15:35:00+00:00,2025-04-12 15:40:00+00:00,SELL,1,85110.15,85334.46971533431,224.3197153343164,-1.0,sl
BTC,williams_reversal,2025-04-12 15:45:00+00:00,2025-04-12 16:05:00+00:00,SELL,4,85101.88,84868.83923603778,233.04076396222086,1.0,tp
BTC,williams_reversal,2025-04-12 16:35:00+00:00,2025-04-12 16:40:00+00:00,BUY,1,84882.16,84697.73024851308,184.42975148693102,-1.0,sl
BTC,williams_reversal,2025-04-12 17:00:00+00:00,2025-04-12 17:05:00+00:00,BUY,1,84680.99,84518.38869877355,162.60130122645393,-1.0,sl
BTC,williams_reversal,2025-04-12 17:20:00+00:00,2025-04-12 17:30:00+00:00,BUY,2,84536.18,84703.66207732007,167.48207732007253,1.0,tp
BTC,williams_reversal,2025-04-12 17:45:00+00:00,2025-04-12 18:00:00+00:00,SELL,3,84673.07,84827.51404089469,154.44404089468628,-1.0,sl
BTC,williams_reversal,2025-04-12 18:05:00+00:00,2025-04-12 18:15:00+00:00,SELL,2,84784.05,84918.78052231098,134.73052231097608,-1.0,sl
BTC,williams_reversal,2025-04-12 19:00:00+00:00,2025-04-12 19:15:00+00:00,SELL,3,85033.39,85149.0889786417,115.69897864169079,-1.0,sl
BTC,williams_reversal,2025-04-12 19:20:00+00:00,2025-04-12 19:30:00+00:00,SELL,2,85043.79,84911.7311952793,132.05880472069856,1.0,tp
BTC,williams_reversal,2025-04-12 19:45:00+00:00,2025-04-12 20:05:00+00:00,BUY,4,84884.95,85014.81450494309,129.86450494309318,1.0,tp
BTC,williams_reversal,2025-04-12 20:20:00+00:00,2025-04-12 20:25:00+00:00,SELL,1,85086.38,85220.05639995757,133.67639995755795,-1.0,sl
BTC,williams_reversal,2025-04-12 20:45:00+00:00,2025-04-12 20:55:00+00:00,SELL,2,85586.68,85395.93730727315,190.7426927268375,1.0,tp
BTC,williams_reversal,2025-04-12 21:40:00+00:00,2025-04-12 21:55:00+00:00,BUY,3,85435.98,85262.15507469923,173.82492530076246,-1.0,sl
BTC,williams_reversal,2025-04-12 22:20:00+00:00,2025-04-12 22:50:00+00:00,SELL,6,85487.36,85319.0446949488,168.31530505120196,1.0,tp
BTC,williams_reversal,2025-04-12 23:05:00+00:00,2025-04-12 23:10:00+00:00,BUY,1,85353.39,85244.16348552998,109.22651447002771,-1.0,sl
BTC,williams_reversal,2025-04-12 23:15:00+00:00,2025-04-12 23:20:00+00:00,BUY,1,85318.39,85200.71266246474,117.67733753526589,-1.0,sl
BTC,williams_reversal,2025-04-12 23:40:00+00:00,2025-04-12 23:45:00+00:00,BUY,1,85262.27,85368.29208880394,106.02208880392857,1.0,tp
BTC,williams_reversal,2025-04-13 00:20:00+00:00,2025-04-13 00:25:00+00:00,SELL,1,85279.75,85171.06257070517,108.68742929483739,1.0,tp
BTC,williams_reversal,2025-04-13 00:30:00+00:00,2025-04-13 00:40:00+00:00,BUY,2,85097.96,85224.3816691148,126.42166911479057,1.0,tp
BTC,williams_reversal,2025-04-13 01:00:00+00:00,2025-04-13 01:05:00+00:00,SELL,1,85420.19,85545.31086946576,125.12086946575116,-1.0,sl
BTC,williams_reversal,2025-04-13 01:15:00+00:00,2025-04-13 01:25:00+00:00,SELL,2,85538.19,85708.52439710112,170.33439710111378,-1.0,sl
BTC,williams_reversal,2025-04-13 01:30:00+00:00,2025-04-13 01:45:00+00:00,SELL,3,85613.35,85391.95880283523,221.39119716478302,1.0,tp
BTC,williams_reversal,2025-04-13 02:40:00+00:00,2025-04-13 02:55:00+00:00,BUY,3,84988.45,85194.05085226682,205.60085226682247,1.0,tp
BTC,williams_reversal,2025-04-13 03:05:00+00:00,2025-04-13 03:35:00+00:00,SELL,6,85280.06,85470.27199662973,190.21199662973768,-1.0,sl
BTC,williams_reversal,2025-04-13 03:50:00+00:00,2025-04-13 04:00:00+00:00,SELL,2,85473.39,85324.15373859831,149.23626140168795,1.0,tp
BTC,williams_reversal,2025-04-13 04:20:00+00:00,2025-04-13 04:30:00+00:00,BUY,2,84962.88,84790.84288598388,172.03711401613145,-1.0,sl
BTC,williams_reversal,2025-04-13 05:25:00+00:00,2025-04-13 05:40:00+00:00,BUY,3,84609.09,84762.75546676664,153.66546676664294,1.0,tp
BTC,williams_reversal,2025-04-13 05:55:00+00:00,2025-04-13 06:05:00+00:00,BUY,2,84480.75,84637.82455186335,157.074551863347,1.0,tp
BTC,williams_reversal,2025-04-13 06:10:00+00:00,2025-04-13 06:40:00+00:00,SELL,6,84588.17,84699.58,168.66046531667402,-0.6605578835017558,timeout
BTC,williams_reversal,2025-04-13 06:45:00+00:00,2025-04-13 06:55:00+00:00,SELL,2,84705.27,84568.94347826942,136.3265217305832,1.0,tp
BTC,williams_reversal,2025-04-13 07:45:00+00:00,2025-04-13 07:50:00+00:00,BUY,1,84513.38,84413.3206875327,100.05931246730414,-1.0,sl
BTC,williams_reversal,2025-04-13 08:15:00+00:00,2025-04-13 08:20:00+00:00,BUY,1,84396.96,84495.64598618874,98.68598618873175,1.0,tp
BTC,williams_reversal,2025-04-13 09:05:00+00:00,2025-04-13 09:25:00+00:00,SELL,4,84564.46,84673.06415797575,108.60415797573816,-1.0,sl
BTC,williams_reversal,2025-04-13 09:30:00+00:00,2025-04-13 09:40:00+00:00,SELL,2,84661.79,84771.10424411824,109.3142441182357,-1.0,sl
BTC,williams_reversal,2025-04-13 09:50:00+00:00,2025-04-13 09:55:00+00:00,SELL,1,84769.48,84885.12585612368,115.64585612367276,-1.0,sl
BTC,williams_reversal,2025-04-13 10:05:00+00:00,2025-04-13 10:15:00+00:00,SELL,2,84743.45,84627.40980862112,116.04019137887613,1.0,tp
BTC,williams_reversal,2025-04-13 10:30:00+00:00,2025-04-13 10:45:00+00:00,BUY,3,84573.46,84692.16933878209,118.70933878207452,1.0,tp
BTC,williams_reversal,2025-04-13 11:20:00+00:00,2025-04-13 11:50:00+00:00,BUY,6,84402.18,84264.82037868488,137.35962131511332,-1.0,sl
BTC,williams_reversal,2025-04-13 12:30:00+00:00,2025-04-13 12:40:00+00:00,BUY,2,84299.35,84456.94091970588,157.59091970587883,1.0,tp
BTC,williams_reversal,2025-04-13 14:00:00+00:00,2025-04-13 14:30:00+00:00,BUY,6,83775.39,83978.96392245086,203.57392245085674,1.0,tp
BTC,williams_reversal,2025-04-13 15:00:00+00:00,2025-04-13 15:05:00+00:00,SELL,1,83856.99,83678.79408052214,178.19591947785582,1.0,tp
BTC,williams_reversal,2025-04-13 15:50:00+00:00,2025-04-13 16:00:00+00:00,BUY,2,83778.57,83920.4238235916,141.85382359159357,1.0,tp
BTC,williams_reversal,2025-04-13 16:10:00+00:00,2025-04-13 16:20:00+00:00,SELL,2,84041.08,84206.31302904888,165.23302904888098,-1.0,sl
BTC,williams_reversal,2025-04-13 16:35:00+00:00,2025-04-13 17:05:00+00:00,SELL,6,84199.26,84378.54550070077,179.28550070076835,-1.0,sl
BTC,williams_reversal,2025-04-13 17:25:00+00:00,2025-04-13 17:45:00+00:00,SELL,4,84673.37,84854.4142620317,181.04426203170468,-1.0,sl
BTC,williams_reversal,2025-04-13 17:55:00+00:00,2025-04-13 18:15:00+00:00,SELL,4,84704.95,84533.65773132001,171.29226867998958,1.0,tp
BTC,williams_reversal,2025-04-13 18:30:00+00:00,2025-04-13 18:35:00+00:00,BUY,1,84635.68,84795.2894052069,159.6094052069125,1.0,tp
BTC,williams_reversal,2025-04-13 18:45:00+00:00,2025-04-13 19:00:00+00:00,SELL,3,84755.85,84586.18638422531,169.66361577469266,1.0,tp
BTC,williams_reversal,2025-04-13 19:10:00+00:00,2025-04-13 19:20:00+00:00,BUY,2,84491.09,84318.40244587742,172.68755412257576,-1.0,sl
BTC,williams_reversal,2025-04-13 19:25:00+00:00,2025-04-13 19:35:00+00:00,BUY,2,84443.77,84292.14701439784,151.6229856021638,-1.0,sl
BTC,williams_reversal,2025-04-13 19:40:00+00:00,2025-04-13 19:50:00+00:00,BUY,2,83483.55,83798.89725314606,315.3472531460605,1.0,tp
BTC,williams_reversal,2025-04-13 20:55:00+00:00,2025-04-13 21:00:00+00:00,BUY,1,83466.09,83159.1618602127,306.9281397873012,-1.0,sl
BTC,williams_reversal,2025-04-13 21:10:00+00:00,2025-04-13 21:20:00+00:00,BUY,2,83330.09,83629.9282468482,299.8382468482064,1.0,tp
BTC,williams_reversal,2025-04-13 21:40:00+00:00,2025-04-13 21:50:00+00:00,BUY,2,83238.07,83552.82425513623,314.75425513623327,1.0,tp
BTC,williams_reversal,2025-04-13 22:05:00+00:00,2025-04-13 22:20:00+00:00,BUY,3,83187.0,83482.80274074376,295.8027407437643,1.0,tp
BTC,williams_reversal,2025-04-13 22:30:00+00:00,2025-04-13 22:35:00+00:00,SELL,1,83535.0,83262.89085864168,272.1091413583183,1.0,tp
BTC,williams_reversal,2025-04-13 22:40:00+00:00,2025-04-13 22:50:00+00:00,BUY,2,83244.6,83556.13619950914,311.5361995091367,1.0,tp
BTC,williams_reversal,2025-04-14 00:05:00+00:00,2025-04-14 00:10:00+00:00,BUY,1,83353.5,83580.63100291962,227.13100291962206,1.0,tp
BTC,williams_reversal,2025-04-14 00:20:00+00:00,2025-04-14 00:40:00+00:00,SELL,4,83525.9,83318.23546269203,207.6645373079723,1.0,tp
BTC,williams_reversal,2025-04-14 01:20:00+00:00,2025-04-14 01:45:00+00:00,SELL,5,84740.0,84434.69807876,305.30192124000223,1.0,tp
BTC,williams_reversal,2025-04-14 02:55:00+00:00,2025-04-14 03:15:00+00:00,BUY,4,84200.6,84416.64929365176,216.0492936517582,1.0,tp
BTC,williams_reversal,2025-04-14 03:35:00+00:00,2025-04-14 03:45:00+00:00,SELL,2,85043.7,85359.18185918324,315.48185918323856,-1.0,sl
BTC,williams_reversal,2025-04-14 03:55:00+00:00,2025-04-14 04:10:00+00:00,SELL,3,85087.5,84807.76676187392,279.7332381260722,1.0,tp
BTC,williams_reversal,2025-04-14 05:00:00+00:00,2025-04-14 05:10:00+00:00,BUY,2,84653.2,84467.23004071406,185.9699592859417,-1.0,sl
BTC,williams_reversal,2025-04-14 05:15:00+00:00,2025-04-14 05:20:00+00:00,BUY,1,84521.0,84687.56325942258,166.56325942258115,1.0,tp
BTC,williams_reversal,2025-04-14 05:30:00+00:00,2025-04-14 05:40:00+00:00,SELL,2,84729.9,84905.86938694856,175.9693869485682,-1.0,sl
BTC,williams_reversal,2025-04-14 05:50:00+00:00,2025-04-14 06:05:00+00:00,SELL,3,84900.0,84739.08538744418,160.91461255581152,1.0,tp
BTC,williams_reversal,2025-04-14 06:50:00+00:00,2025-04-14 07:05:00+00:00,BUY,3,84517.6,84371.2210813759,146.37891862410362,-1.0,sl
BTC,williams_reversal,2025-04-14 07:10:00+00:00,2025-04-14 07:40:00+00:00,BUY,6,84396.1,84500.7,156.21701718168916,0.6695813419503177,timeout
