asset,strategy,entry_time,exit_time,direction,bars_held,entry,exit,atr_entry,pnl_r,exit_reason
XAU,cci_reversal,2025-12-09 21:13:00+00:00,2025-12-09 21:15:00+00:00,SELL,2,4210.19,4211.335646647523,1.1456466475241245,-1.0,sl
XAU,cci_reversal,2025-12-09 21:27:00+00:00,2025-12-09 21:30:00+00:00,BUY,3,4208.42,4207.410905463454,1.009094536546498,-1.0,sl
XAU,cci_reversal,2025-12-09 21:49:00+00:00,2025-12-09 21:50:00+00:00,BUY,1,4207.92,4208.752249504302,0.8322495043025696,1.0,tp
XAU,cci_reversal,2025-12-09 21:58:00+00:00,2025-12-09 22:00:00+00:00,SELL,2,4212.39,4213.558576301104,1.1685763011040435,-1.0,sl
XAU,cci_reversal,2025-12-09 22:14:00+00:00,2025-12-09 22:16:00+00:00,SELL,2,4214.63,4213.439537865907,1.1904621340929833,1.0,tp
XAU,cci_reversal,2025-12-09 22:28:00+00:00,2025-12-09 22:33:00+00:00,BUY,5,4210.92,4209.926274507401,0.9937254925989374,-1.0,sl
XAU,cci_reversal,2025-12-09 22:40:00+00:00,2025-12-09 22:44:00+00:00,SELL,4,4210.68,4209.705663028983,0.9743369710175802,1.0,tp
XAU,cci_reversal,2025-12-09 22:52:00+00:00,2025-12-09 22:55:00+00:00,SELL,3,4212.18,4211.353431528553,0.8265684714472347,1.0,tp
XAU,cci_reversal,2025-12-09 23:05:00+00:00,2025-12-09 23:09:00+00:00,BUY,4,4212.14,4211.300031259113,0.8399687408873147,-1.0,sl
XAU,cci_reversal,2025-12-09 23:24:00+00:00,2025-12-09 23:27:00+00:00,BUY,3,4210.08,4209.503332843656,0.5766671563441012,-1.0,sl
XAU,cci_reversal,2025-12-09 23:38:00+00:00,2025-12-09 23:40:00+00:00,BUY,2,4208.93,4209.438540420701,0.508540420700729,1.0,tp
XAU,cci_reversal,2025-12-10 01:00:00+00:00,2025-12-10 01:03:00+00:00,BUY,3,4209.8,4210.660142754453,0.8601427544526985,1.0,tp
XAU,cci_reversal,2025-12-10 01:08:00+00:00,2025-12-10 01:10:00+00:00,SELL,2,4209.4,4208.3998733863045,1.000126613695084,1.0,tp
XAU,cci_reversal,2025-12-10 01:18:00+00:00,2025-12-10 01:19:00+00:00,SELL,1,4209.59,4208.558595437428,1.0314045625721355,1.0,tp
XAU,cci_reversal,2025-12-10 01:24:00+00:00,2025-12-10 01:26:00+00:00,BUY,2,4208.71,4209.660144583398,0.9501445833978805,1.0,tp
XAU,cci_reversal,2025-12-10 01:30:00+00:00,2025-12-10 01:33:00+00:00,SELL,3,4209.63,4210.614437398865,0.9844373988649293,-1.0,sl
XAU,cci_reversal,2025-12-10 01:52:00+00:00,2025-12-10 01:54:00+00:00,SELL,2,4211.44,4210.456525668407,0.9834743315918829,1.0,tp
XAU,cci_reversal,2025-12-10 02:02:00+00:00,2025-12-10 02:03:00+00:00,SELL,1,4211.87,4210.9772319336325,0.8927680663669191,1.0,tp
XAU,cci_reversal,2025-12-10 02:11:00+00:00,2025-12-10 02:16:00+00:00,BUY,5,4209.17,4207.909333551102,1.2606664488982209,-1.0,sl
XAU,cci_reversal,2025-12-10 02:22:00+00:00,2025-12-10 02:26:00+00:00,BUY,4,4208.11,4209.051729040072,0.9417290400727478,1.0,tp
XAU,cci_reversal,2025-12-10 02:28:00+00:00,2025-12-10 02:32:00+00:00,SELL,4,4209.02,4208.126371288127,0.8936287118735181,1.0,tp
XAU,cci_reversal,2025-12-10 02:44:00+00:00,2025-12-10 02:48:00+00:00,BUY,4,4207.65,4208.265050987812,0.6150509878127125,1.0,tp
XAU,cci_reversal,2025-12-10 02:51:00+00:00,2025-12-10 02:52:00+00:00,SELL,1,4208.66,4208.152975564,0.5070244359997355,1.0,tp
XAU,cci_reversal,2025-12-10 02:59:00+00:00,2025-12-10 03:00:00+00:00,SELL,1,4208.47,4209.2447771338875,0.7747771338868206,-1.0,sl_and_tp_same_bar
XAU,cci_reversal,2025-12-10 03:02:00+00:00,2025-12-10 03:03:00+00:00,SELL,1,4208.84,4207.630896188696,1.209103811303572,1.0,tp
XAU,cci_reversal,2025-12-10 03:23:00+00:00,2025-12-10 03:25:00+00:00,SELL,2,4215.31,4213.741390423283,1.5686095767179618,1.0,tp
XAU,cci_reversal,2025-12-10 03:43:00+00:00,2025-12-10 03:46:00+00:00,BUY,3,4206.9,4208.217477860034,1.3174778600344417,1.0,tp
XAU,cci_reversal,2025-12-10 03:58:00+00:00,2025-12-10 04:03:00+00:00,BUY,5,4205.79,4206.934413413789,1.1444134137891622,1.0,tp
XAU,cci_reversal,2025-12-10 04:11:00+00:00,2025-12-10 04:14:00+00:00,SELL,3,4207.4,4208.14545896833,0.7454589683305307,-1.0,sl
XAU,cci_reversal,2025-12-10 04:18:00+00:00,2025-12-10 04:19:00+00:00,SELL,1,4207.48,4206.6916712441025,0.7883287558969152,1.0,tp
XAU,cci_reversal,2025-12-10 04:23:00+00:00,2025-12-10 04:30:00+00:00,BUY,7,4206.94,4206.116839494633,0.8231605053672151,-1.0,sl
XAU,cci_reversal,2025-12-10 04:32:00+00:00,2025-12-10 04:35:00+00:00,BUY,3,4206.67,4205.866120660201,0.8038793397993519,-1.0,sl
XAU,cci_reversal,2025-12-10 04:44:00+00:00,2025-12-10 04:50:00+00:00,SELL,6,4207.53,4206.4920644080175,1.0379355919819462,1.0,tp
XAU,cci_reversal,2025-12-10 04:53:00+00:00,2025-12-10 04:56:00+00:00,BUY,3,4206.2,4206.952801423082,0.752801423082257,1.0,tp
