asset,strategy,entry_time,exit_time,direction,bars_held,entry,exit,atr_entry,pnl_r,exit_reason
XAU,donchian_breakout_20,2025-12-09 21:22:00+00:00,2025-12-09 21:27:00+00:00,SELL,5,4208.24,4209.375036598292,1.1350365982928903,-1.0,sl
XAU,donchian_breakout_20,2025-12-09 21:51:00+00:00,2025-12-09 21:52:00+00:00,BUY,1,4210.76,4211.812667405454,1.052667405453885,1.0,tp
XAU,donchian_breakout_20,2025-12-09 21:53:00+00:00,2025-12-09 21:56:00+00:00,BUY,3,4213.04,4214.250759073429,1.2107590734297684,1.0,tp
XAU,donchian_breakout_20,2025-12-09 22:02:00+00:00,2025-12-09 22:04:00+00:00,BUY,2,4214.65,4213.401801131144,1.2481988688558716,-1.0,sl
XAU,donchian_breakout_20,2025-12-09 22:11:00+00:00,2025-12-09 22:12:00+00:00,BUY,1,4215.67,4214.462494445806,1.2075055541937374,-1.0,sl
XAU,donchian_breakout_20,2025-12-09 22:19:00+00:00,2025-12-09 22:22:00+00:00,SELL,3,4211.75,4210.594490854777,1.1555091452229764,1.0,tp
XAU,donchian_breakout_20,2025-12-09 22:23:00+00:00,2025-12-09 22:26:00+00:00,SELL,3,4210.18,4209.116120164016,1.0638798359844113,1.0,tp
XAU,donchian_breakout_20,2025-12-09 22:46:00+00:00,2025-12-09 22:48:00+00:00,BUY,2,4212.25,4213.156822995292,0.9068229952914402,1.0,tp
XAU,donchian_breakout_20,2025-12-09 23:17:00+00:00,2025-12-09 23:18:00+00:00,SELL,1,4210.86,4210.119589020789,0.7404109792104373,1.0,tp
XAU,donchian_breakout_20,2025-12-09 23:32:00+00:00,2025-12-09 23:40:00+00:00,SELL,8,4208.84,4209.489305756566,0.6493057565660896,-1.0,sl
XAU,donchian_breakout_20,2025-12-09 23:55:00+00:00,2025-12-09 23:58:00+00:00,SELL,3,4207.71,4208.415189137081,0.7051891370810599,-1.0,sl
XAU,donchian_breakout_20,2025-12-10 01:01:00+00:00,2025-12-10 01:03:00+00:00,BUY,2,4210.4,4209.57454294614,0.8254570538589326,-1.0,sl
XAU,donchian_breakout_20,2025-12-10 01:27:00+00:00,2025-12-10 01:30:00+00:00,BUY,3,4210.76,4209.769769585267,0.9902304147333558,-1.0,sl
XAU,donchian_breakout_20,2025-12-10 01:44:00+00:00,2025-12-10 01:48:00+00:00,BUY,4,4211.25,4212.077320899791,0.827320899791058,1.0,tp
XAU,donchian_breakout_20,2025-12-10 02:06:00+00:00,2025-12-10 02:11:00+00:00,SELL,5,4208.36,4209.672725110982,1.3127251109828841,-1.0,sl
XAU,donchian_breakout_20,2025-12-10 02:57:00+00:00,2025-12-10 02:59:00+00:00,BUY,2,4209.28,4208.579379555476,0.7006204445237224,-1.0,sl
XAU,donchian_breakout_20,2025-12-10 03:06:00+00:00,2025-12-10 03:08:00+00:00,BUY,2,4211.03,4212.467586053424,1.4375860534250877,1.0,tp
XAU,donchian_breakout_20,2025-12-10 03:12:00+00:00,2025-12-10 03:17:00+00:00,BUY,5,4214.53,4216.137135943896,1.6071359438963946,1.0,tp
XAU,donchian_breakout_20,2025-12-10 03:18:00+00:00,2025-12-10 03:23:00+00:00,BUY,5,4216.8,4215.251519373325,1.5484806266752364,-1.0,sl
XAU,donchian_breakout_20,2025-12-10 03:35:00+00:00,2025-12-10 03:39:00+00:00,SELL,4,4209.86,4207.661760501322,2.1982394986778537,1.0,tp
XAU,donchian_breakout_20,2025-12-10 03:40:00+00:00,2025-12-10 03:50:00+00:00,SELL,10,4207.02,4207.19,1.6957978050140832,-0.1002478004727406,timeout
XAU,donchian_breakout_20,2025-12-10 03:52:00+00:00,2025-12-10 03:54:00+00:00,SELL,2,4205.59,4204.44917613035,1.1408238696501387,1.0,tp
XAU,donchian_breakout_20,2025-12-10 03:55:00+00:00,2025-12-10 03:56:00+00:00,SELL,1,4204.16,4205.300844456777,1.1408444567767209,-1.0,sl
XAU,donchian_breakout_20,2025-12-10 04:09:00+00:00,2025-12-10 04:11:00+00:00,BUY,2,4208.18,4207.371667053998,0.8083329460022026,-1.0,sl
XAU,donchian_breakout_20,2025-12-10 04:14:00+00:00,2025-12-10 04:18:00+00:00,BUY,4,4208.44,4207.7317767841705,0.7082232158287454,-1.0,sl
XAU,donchian_breakout_20,2025-12-10 04:30:00+00:00,2025-12-10 04:31:00+00:00,SELL,1,4205.53,4206.302383736419,0.7723837364194158,-1.0,sl
XAU,donchian_breakout_20,2025-12-10 04:39:00+00:00,2025-12-10 04:42:00+00:00,BUY,3,4207.79,4208.526604461063,0.736604461062506,1.0,tp
XAU,donchian_breakout_20,2025-12-10 05:08:00+00:00,2025-12-10 05:12:00+00:00,SELL,4,4205.17,4204.499868442711,0.6701315572892633,1.0,tp
XAU,donchian_breakout_20,2025-12-10 05:16:00+00:00,2025-12-10 05:19:00+00:00,SELL,3,4202.81,4201.931369615455,0.8786303845457104,1.0,tp
XAU,donchian_breakout_20,2025-12-10 05:30:00+00:00,2025-12-10 05:31:00+00:00,BUY,1,4207.29,4206.076442833843,1.2135571661567064,-1.0,sl
XAU,donchian_breakout_20,2025-12-10 05:37:00+00:00,2025-12-10 05:39:00+00:00,BUY,2,4209.59,4210.815921254547,1.2259212545465292,1.0,tp
XAU,donchian_breakout_20,2025-12-10 05:42:00+00:00,2025-12-10 05:45:00+00:00,BUY,3,4211.28,4212.3648163296975,1.0848163296978375,1.0,tp
