asset,strategy,entry_time,exit_time,direction,bars_held,entry,exit,atr_entry,pnl_r,exit_reason
XAU,ema_cross_8_20,2025-12-09 21:22:00+00:00,2025-12-09 21:27:00+00:00,SELL,5,4208.24,4209.375036598292,1.1350365982928903,-1.0,sl
XAU,ema_cross_8_20,2025-12-09 21:37:00+00:00,2025-12-09 21:39:00+00:00,BUY,2,4209.75,4208.855268359472,0.8947316405285193,-1.0,sl
XAU,ema_cross_8_20,2025-12-09 21:40:00+00:00,2025-12-09 21:41:00+00:00,BUY,1,4209.61,4208.816819136521,0.7931808634789078,-1.0,sl
XAU,ema_cross_8_20,2025-12-09 21:43:00+00:00,2025-12-09 21:45:00+00:00,BUY,2,4209.52,4208.732273079389,0.787726920611381,-1.0,sl
XAU,ema_cross_8_20,2025-12-09 21:51:00+00:00,2025-12-09 21:52:00+00:00,BUY,1,4210.76,4211.812667405454,1.052667405453885,1.0,tp
XAU,ema_cross_8_20,2025-12-09 22:20:00+00:00,2025-12-09 22:22:00+00:00,SELL,2,4212.01,4210.924558740807,1.0854412591932607,1.0,tp
XAU,ema_cross_8_20,2025-12-09 22:46:00+00:00,2025-12-09 22:48:00+00:00,BUY,2,4212.25,4213.156822995292,0.9068229952914402,1.0,tp
XAU,ema_cross_8_20,2025-12-09 23:03:00+00:00,2025-12-09 23:05:00+00:00,SELL,2,4210.98,4211.846585601773,0.8665856017729284,-1.0,sl
XAU,ema_cross_8_20,2025-12-09 23:07:00+00:00,2025-12-09 23:09:00+00:00,BUY,2,4212.82,4211.931934590178,0.888065409822111,-1.0,sl
XAU,ema_cross_8_20,2025-12-09 23:10:00+00:00,2025-12-09 23:18:00+00:00,SELL,8,4211.49,4210.648358605813,0.8416413941864251,1.0,tp
XAU,ema_cross_8_20,2025-12-10 01:01:00+00:00,2025-12-10 01:03:00+00:00,BUY,2,4210.4,4209.57454294614,0.8254570538589326,-1.0,sl
XAU,ema_cross_8_20,2025-12-10 01:13:00+00:00,2025-12-10 01:16:00+00:00,SELL,3,4208.57,4209.590118611724,1.0201186117250678,-1.0,sl
XAU,ema_cross_8_20,2025-12-10 01:17:00+00:00,2025-12-10 01:19:00+00:00,BUY,2,4210.16,4209.117610120109,1.04238987989092,-1.0,sl
XAU,ema_cross_8_20,2025-12-10 01:20:00+00:00,2025-12-10 01:26:00+00:00,SELL,6,4208.62,4209.701899426998,1.0818994269986784,-1.0,sl
XAU,ema_cross_8_20,2025-12-10 01:56:00+00:00,2025-12-10 01:59:00+00:00,SELL,3,4210.44,4211.287726822411,0.847726822411773,-1.0,sl
XAU,ema_cross_8_20,2025-12-10 02:00:00+00:00,2025-12-10 02:01:00+00:00,BUY,1,4211.6,4212.38291606469,0.7829160646895266,1.0,tp
XAU,ema_cross_8_20,2025-12-10 02:06:00+00:00,2025-12-10 02:11:00+00:00,SELL,5,4208.36,4209.672725110982,1.3127251109828841,-1.0,sl
XAU,ema_cross_8_20,2025-12-10 02:30:00+00:00,2025-12-10 02:31:00+00:00,BUY,1,4209.35,4208.5605633230825,0.7894366769182846,-1.0,sl
XAU,ema_cross_8_20,2025-12-10 02:50:00+00:00,2025-12-10 02:52:00+00:00,BUY,2,4208.62,4208.07035642,0.549643579999622,-1.0,sl
XAU,ema_cross_8_20,2025-12-10 03:03:00+00:00,2025-12-10 03:04:00+00:00,SELL,1,4207.34,4208.690556636463,1.3505566364631538,-1.0,sl
XAU,ema_cross_8_20,2025-12-10 03:35:00+00:00,2025-12-10 03:39:00+00:00,SELL,4,4209.86,4207.661760501322,2.1982394986778537,1.0,tp
XAU,ema_cross_8_20,2025-12-10 04:09:00+00:00,2025-12-10 04:11:00+00:00,BUY,2,4208.18,4207.371667053998,0.8083329460022026,-1.0,sl
XAU,ema_cross_8_20,2025-12-10 04:21:00+00:00,2025-12-10 04:24:00+00:00,SELL,3,4206.41,4207.1547994893945,0.7447994893942634,-1.0,sl
XAU,ema_cross_8_20,2025-12-10 04:37:00+00:00,2025-12-10 04:41:00+00:00,BUY,4,4207.4,4208.184946767687,0.7849467676867149,1.0,tp
XAU,ema_cross_8_20,2025-12-10 04:48:00+00:00,2025-12-10 04:50:00+00:00,SELL,2,4206.57,4205.732819981381,0.8371800186191215,1.0,tp
XAU,ema_cross_8_20,2025-12-10 04:58:00+00:00,2025-12-10 05:00:00+00:00,BUY,2,4207.49,4206.850287000782,0.639712999217155,-1.0,sl
XAU,ema_cross_8_20,2025-12-10 05:02:00+00:00,2025-12-10 05:06:00+00:00,BUY,4,4207.15,4206.516368731443,0.6336312685558363,-1.0,sl
XAU,ema_cross_8_20,2025-12-10 05:29:00+00:00,2025-12-10 05:30:00+00:00,BUY,1,4205.6,4206.501796730181,0.9017967301808485,1.0,tp
XAU,ema_cross_8_20,2025-12-10 06:02:00+00:00,2025-12-10 06:04:00+00:00,SELL,2,4210.71,4209.549370006479,1.1606299935212616,1.0,tp
XAU,ema_cross_8_20,2025-12-10 06:48:00+00:00,2025-12-10 06:49:00+00:00,BUY,1,4206.69,4207.699586038545,1.0095860385450257,1.0,tp
XAU,ema_cross_8_20,2025-12-10 07:12:00+00:00,2025-12-10 07:16:00+00:00,SELL,4,4205.46,4206.6850872089135,1.2250872089133882,-1.0,sl
XAU,ema_cross_8_20,2025-12-10 07:18:00+00:00,2025-12-10 07:22:00+00:00,BUY,4,4208.46,4207.353564930303,1.1064350696970593,-1.0,sl
XAU,ema_cross_8_20,2025-12-10 07:25:00+00:00,2025-12-10 07:29:00+00:00,SELL,4,4206.39,4207.321375208298,0.9313752082979064,-1.0,sl
XAU,ema_cross_8_20,2025-12-10 07:30:00+00:00,2025-12-10 07:34:00+00:00,BUY,4,4207.92,4207.088676905068,0.8313230949328942,-1.0,sl
XAU,ema_cross_8_20,2025-12-10 07:44:00+00:00,2025-12-10 07:45:00+00:00,SELL,1,4207.12,4206.367452766976,0.7525472330232955,1.0,tp
XAU,ema_cross_8_20,2025-12-10 08:20:00+00:00,2025-12-10 08:22:00+00:00,BUY,2,4204.82,4206.115126089282,1.2951260892827032,1.0,tp
XAU,ema_cross_8_20,2025-12-10 08:30:00+00:00,2025-12-10 08:33:00+00:00,SELL,3,4203.68,4202.658789944856,1.0212100551447052,1.0,tp
XAU,ema_cross_8_20,2025-12-10 09:31:00+00:00,2025-12-10 09:33:00+00:00,BUY,2,4197.79,4196.815021431191,0.9749785688094751,-1.0,sl
XAU,ema_cross_8_20,2025-12-10 10:14:00+00:00,2025-12-10 10:16:00+00:00,BUY,2,4195.85,4194.593820344108,1.2561796558924174,-1.0,sl
XAU,ema_cross_8_20,2025-12-10 10:22:00+00:00,2025-12-10 10:26:00+00:00,SELL,4,4193.01,4194.221986282438,1.2119862824371066,-1.0,sl
XAU,ema_cross_8_20,2025-12-10 10:39:00+00:00,2025-12-10 10:49:00+00:00,BUY,10,4193.91,4192.9,1.4844186693446235,-0.6804010356769072,timeout
XAU,ema_cross_8_20,2025-12-10 10:50:00+00:00,2025-12-10 10:51:00+00:00,SELL,1,4192.79,4191.847954392898,0.9420456071020756,1.0,tp
XAU,ema_cross_8_20,2025-12-10 10:58:00+00:00,2025-12-10 11:01:00+00:00,BUY,3,4194.05,4192.986923011642,1.0630769883580975,-1.0,sl
XAU,ema_cross_8_20,2025-12-10 11:08:00+00:00,2025-12-10 11:09:00+00:00,SELL,1,4192.77,4193.615972232121,0.8459722321206334,-1.0,sl
XAU,ema_cross_8_20,2025-12-10 11:31:00+00:00,2025-12-10 11:32:00+00:00,SELL,1,4193.71,4194.490059268797,0.7800592687967801,-1.0,sl
XAU,ema_cross_8_20,2025-12-10 11:33:00+00:00,2025-12-10 11:34:00+00:00,BUY,1,4195.27,4196.064800073008,0.7948000730073996,1.0,tp
XAU,ema_cross_8_20,2025-12-10 12:21:00+00:00,2025-12-10 12:30:00+00:00,SELL,9,4198.26,4197.245215786089,1.0147842139117451,1.0,tp
XAU,ema_cross_8_20,2025-12-10 13:06:00+00:00,2025-12-10 13:07:00+00:00,BUY,1,4198.68,4200.309210658325,1.6292106583247281,1.0,tp
XAU,ema_cross_8_20,2025-12-10 13:12:00+00:00,2025-12-10 13:15:00+00:00,SELL,3,4194.97,4196.784645019786,1.8146450197858701,-1.0,sl
XAU,ema_cross_8_20,2025-12-10 13:17:00+00:00,2025-12-10 13:19:00+00:00,BUY,2,4197.55,4195.776363241704,1.7736367582963901,-1.0,sl
