asset,strategy,entry_time,exit_time,direction,bars_held,entry,exit,atr_entry,pnl_r,exit_reason
XAU,ema_trend_pullback,2025-12-10 03:48:00+00:00,2025-12-10 03:52:00+00:00,SELL,4,4207.7,4206.587731928117,1.1122680718824836,1.0,tp
XAU,ema_trend_pullback,2025-12-10 04:01:00+00:00,2025-12-10 04:03:00+00:00,SELL,2,4205.62,4206.642144080028,1.0221440800282229,-1.0,sl
XAU,ema_trend_pullback,2025-12-10 05:55:00+00:00,2025-12-10 05:57:00+00:00,BUY,2,4212.91,4211.843908765058,1.0660912349420493,-1.0,sl
XAU,ema_trend_pullback,2025-12-10 06:22:00+00:00,2025-12-10 06:28:00+00:00,SELL,6,4205.21,4206.8347468057445,1.624746805744182,-1.0,sl
XAU,ema_trend_pullback,2025-12-10 12:14:00+00:00,2025-12-10 12:16:00+00:00,BUY,2,4201.19,4202.2146950864,1.0246950864004474,1.0,tp
XAU,ema_trend_pullback,2025-12-10 14:32:00+00:00,2025-12-10 14:33:00+00:00,SELL,1,4196.16,4193.896579396648,2.263420603351704,1.0,tp
XAU,ema_trend_pullback,2025-12-10 16:34:00+00:00,2025-12-10 16:40:00+00:00,BUY,6,4200.39,4201.826121921059,1.436121921058524,1.0,tp
XAU,ema_trend_pullback,2025-12-10 16:58:00+00:00,2025-12-10 17:01:00+00:00,BUY,3,4204.68,4203.621669358679,1.0583306413209868,-1.0,sl
XAU,ema_trend_pullback,2025-12-10 19:14:00+00:00,2025-12-10 19:16:00+00:00,BUY,2,4212.29,4216.605269215318,4.315269215318336,1.0,tp
XAU,ema_trend_pullback,2025-12-10 20:21:00+00:00,2025-12-10 20:24:00+00:00,BUY,3,4236.08,4232.402240957576,3.677759042423726,-1.0,sl
XAU,ema_trend_pullback,2025-12-10 22:21:00+00:00,2025-12-10 22:24:00+00:00,BUY,3,4236.06,4232.469707878341,3.5902921216589236,-1.0,sl
XAU,ema_trend_pullback,2025-12-10 23:59:00+00:00,2025-12-11 00:01:00+00:00,BUY,2,4232.39,4233.521507382643,1.1315073826422877,1.0,tp
XAU,ema_trend_pullback,2025-12-11 03:20:00+00:00,2025-12-11 03:25:00+00:00,SELL,5,4213.39,4211.032362766932,2.357637233068108,1.0,tp
XAU,ema_trend_pullback,2025-12-11 06:36:00+00:00,2025-12-11 06:41:00+00:00,BUY,5,4213.88,4212.57385305354,1.3061469464604631,-1.0,sl
XAU,ema_trend_pullback,2025-12-11 09:14:00+00:00,2025-12-11 09:18:00+00:00,SELL,4,4212.1,4213.427467204276,1.32746720427563,-1.0,sl
XAU,ema_trend_pullback,2025-12-11 09:52:00+00:00,2025-12-11 09:54:00+00:00,BUY,2,4219.09,4217.672313663047,1.4176863369529098,-1.0,sl
XAU,ema_trend_pullback,2025-12-11 12:28:00+00:00,2025-12-11 12:32:00+00:00,BUY,4,4217.97,4219.227088750779,1.2570887507792665,1.0,tp
XAU,ema_trend_pullback,2025-12-11 12:40:00+00:00,2025-12-11 12:45:00+00:00,BUY,5,4219.39,4218.273642125598,1.1163578744027551,-1.0,sl
XAU,ema_trend_pullback,2025-12-11 13:20:00+00:00,2025-12-11 13:21:00+00:00,SELL,1,4208.6,4211.032345020667,2.432345020666846,-1.0,sl
XAU,ema_trend_pullback,2025-12-11 16:58:00+00:00,2025-12-11 17:05:00+00:00,BUY,7,4274.23,4276.987784675653,2.757784675652723,1.0,tp
XAU,ema_trend_pullback,2025-12-11 18:17:00+00:00,2025-12-11 18:20:00+00:00,BUY,3,4285.0,4283.515931698198,1.4840683018015581,-1.0,sl
XAU,ema_trend_pullback,2025-12-11 19:07:00+00:00,2025-12-11 19:08:00+00:00,SELL,1,4268.73,4266.280260301143,2.4497396988566695,1.0,tp
XAU,ema_trend_pullback,2025-12-11 21:32:00+00:00,2025-12-11 21:33:00+00:00,BUY,1,4278.49,4279.525207231999,1.0352072319993106,1.0,tp
XAU,ema_trend_pullback,2025-12-11 22:16:00+00:00,2025-12-11 22:17:00+00:00,SELL,1,4269.53,4267.45046469441,2.0795353055901646,1.0,tp
XAU,ema_trend_pullback,2025-12-11 22:24:00+00:00,2025-12-11 22:28:00+00:00,SELL,4,4266.73,4268.533136878763,1.803136878763427,-1.0,sl
XAU,ema_trend_pullback,2025-12-11 23:17:00+00:00,2025-12-11 23:20:00+00:00,BUY,3,4281.91,4280.962910851703,0.9470891482968782,-1.0,sl
XAU,ema_trend_pullback,2025-12-12 00:58:00+00:00,2025-12-12 00:59:00+00:00,SELL,1,4271.53,4270.1495490361,1.380450963899699,1.0,tp
XAU,ema_trend_pullback,2025-12-12 02:18:00+00:00,2025-12-12 02:24:00+00:00,BUY,6,4275.52,4274.122346929702,1.3976530702981178,-1.0,sl
XAU,ema_trend_pullback,2025-12-12 05:41:00+00:00,2025-12-12 05:46:00+00:00,BUY,5,4278.78,4277.375275997248,1.4047240027522627,-1.0,sl
XAU,ema_trend_pullback,2025-12-12 07:15:00+00:00,2025-12-12 07:17:00+00:00,BUY,2,4286.66,4285.371887191179,1.2881128088206981,-1.0,sl
XAU,ema_trend_pullback,2025-12-12 09:08:00+00:00,2025-12-12 09:11:00+00:00,BUY,3,4311.78,4313.432840072085,1.6528400720851502,1.0,tp
XAU,ema_trend_pullback,2025-12-12 09:18:00+00:00,2025-12-12 09:25:00+00:00,BUY,7,4315.29,4317.350800683404,2.0608006834034702,1.0,tp
XAU,ema_trend_pullback,2025-12-12 11:15:00+00:00,2025-12-12 11:20:00+00:00,BUY,5,4338.53,4336.345882882228,2.184117117772266,-1.0,sl
XAU,ema_trend_pullback,2025-12-12 13:21:00+00:00,2025-12-12 13:25:00+00:00,BUY,4,4336.67,4338.568219400239,1.8982194002391628,1.0,tp
XAU,ema_trend_pullback,2025-12-12 15:33:00+00:00,2025-12-12 15:36:00+00:00,SELL,3,4302.09,4309.42836764527,7.338367645269333,-1.0,sl
XAU,ema_trend_pullback,2025-12-12 20:35:00+00:00,2025-12-12 20:36:00+00:00,SELL,1,4291.37,4293.768795419474,2.3987954194742125,-1.0,sl
XAU,ema_trend_pullback,2025-12-12 22:35:00+00:00,2025-12-12 22:36:00+00:00,SELL,1,4291.47,4293.827462359711,2.3574623597109126,-1.0,sl
XAU,ema_trend_pullback,2025-12-12 23:33:00+00:00,2025-12-12 23:39:00+00:00,BUY,6,4302.79,4303.486548810024,0.6965488100239111,1.0,tp
XAU,ema_trend_pullback,2025-12-15 01:47:00+00:00,2025-12-15 01:52:00+00:00,BUY,5,4321.38,4323.143680861435,1.7636808614356212,1.0,tp
XAU,ema_trend_pullback,2025-12-15 04:39:00+00:00,2025-12-15 04:40:00+00:00,SELL,1,4325.04,4323.894727643546,1.1452723564544227,1.0,tp
XAU,ema_trend_pullback,2025-12-15 05:50:00+00:00,2025-12-15 05:54:00+00:00,BUY,4,4339.3,4340.836531829826,1.5365318298258022,1.0,tp
XAU,ema_trend_pullback,2025-12-15 10:40:00+00:00,2025-12-15 10:47:00+00:00,SELL,7,4338.81,4340.626970038363,1.816970038362202,-1.0,sl
XAU,ema_trend_pullback,2025-12-15 13:17:00+00:00,2025-12-15 13:19:00+00:00,SELL,2,4336.5,4338.732379794742,2.2323797947418815,-1.0,sl
XAU,ema_trend_pullback,2025-12-15 16:20:00+00:00,2025-12-15 16:21:00+00:00,SELL,1,4301.84,4298.283097879765,3.556902120235345,1.0,tp
XAU,ema_trend_pullback,2025-12-15 16:26:00+00:00,2025-12-15 16:34:00+00:00,SELL,8,4297.88,4294.150057447588,3.7299425524121737,1.0,tp
XAU,ema_trend_pullback,2025-12-15 17:32:00+00:00,2025-12-15 17:41:00+00:00,BUY,9,4301.82,4303.935542418447,2.1155424184468345,1.0,tp
XAU,ema_trend_pullback,2025-12-15 18:50:00+00:00,2025-12-15 18:54:00+00:00,BUY,4,4309.48,4310.6880928355395,1.2080928355402987,1.0,tp
XAU,ema_trend_pullback,2025-12-15 20:26:00+00:00,2025-12-15 20:31:00+00:00,SELL,5,4305.09,4307.511743148483,2.4217431484832854,-1.0,sl
XAU,ema_trend_pullback,2025-12-16 00:46:00+00:00,2025-12-16 00:49:00+00:00,BUY,3,4311.81,4310.707052074802,1.1029479251984269,-1.0,sl
XAU,ema_trend_pullback,2025-12-16 01:41:00+00:00,2025-12-16 01:47:00+00:00,BUY,6,4315.31,4313.558320585152,1.7516794148483261,-1.0,sl
XAU,ema_trend_pullback,2025-12-16 02:00:00+00:00,2025-12-16 02:02:00+00:00,SELL,2,4307.24,4309.131801652639,1.891801652639869,-1.0,sl
XAU,ema_trend_pullback,2025-12-16 03:06:00+00:00,2025-12-16 03:08:00+00:00,SELL,2,4292.06,4289.340476616826,2.7195233831742818,1.0,tp
XAU,ema_trend_pullback,2025-12-16 03:20:00+00:00,2025-12-16 03:26:00+00:00,SELL,6,4284.33,4287.650945747749,3.32094574774862,-1.0,sl
XAU,ema_trend_pullback,2025-12-16 05:25:00+00:00,2025-12-16 05:27:00+00:00,SELL,2,4284.24,4282.931147912343,1.3088520876568264,1.0,tp
XAU,ema_trend_pullback,2025-12-16 06:43:00+00:00,2025-12-16 06:50:00+00:00,BUY,7,4290.97,4289.711069351436,1.2589306485646894,-1.0,sl
XAU,ema_trend_pullback,2025-12-16 08:55:00+00:00,2025-12-16 08:56:00+00:00,BUY,1,4285.34,4283.848108943885,1.4918910561157885,-1.0,sl
XAU,ema_trend_pullback,2025-12-16 12:35:00+00:00,2025-12-16 12:36:00+00:00,BUY,1,4290.85,4289.723053683008,1.1269463169921057,-1.0,sl
XAU,ema_trend_pullback,2025-12-16 13:36:00+00:00,2025-12-16 13:37:00+00:00,BUY,1,4307.94,4311.218493418858,3.2784934188582486,1.0,tp
XAU,ema_trend_pullback,2025-12-16 13:40:00+00:00,2025-12-16 13:41:00+00:00,BUY,1,4311.43,4307.81796305114,3.6120369488594557,-1.0,sl
XAU,ema_trend_pullback,2025-12-16 14:10:00+00:00,2025-12-16 14:12:00+00:00,BUY,2,4317.46,4320.120262538709,2.660262538708786,1.0,tp
XAU,ema_trend_pullback,2025-12-16 14:30:00+00:00,2025-12-16 14:33:00+00:00,BUY,3,4327.45,4330.062018533455,2.612018533454567,1.0,tp
XAU,ema_trend_pullback,2025-12-16 18:40:00+00:00,2025-12-16 18:41:00+00:00,BUY,1,4307.86,4309.554249528137,1.6942495281372907,1.0,tp
XAU,ema_trend_pullback,2025-12-16 18:47:00+00:00,2025-12-16 18:49:00+00:00,BUY,2,4310.78,4312.62057535408,1.8405753540799987,1.0,tp
XAU,ema_trend_pullback,2025-12-16 18:57:00+00:00,2025-12-16 18:58:00+00:00,BUY,1,4312.12,4310.721142903322,1.3988570966779088,-1.0,sl
XAU,ema_trend_pullback,2025-12-16 21:16:00+00:00,2025-12-16 21:17:00+00:00,SELL,1,4302.15,4301.324223846806,0.8257761531937198,1.0,tp
XAU,ema_trend_pullback,2025-12-16 22:12:00+00:00,2025-12-16 22:17:00+00:00,BUY,5,4312.31,4310.582373763019,1.727626236981142,-1.0,sl
XAU,ema_trend_pullback,2025-12-17 00:22:00+00:00,2025-12-17 00:29:00+00:00,BUY,7,4314.51,4313.437572791913,1.0724272080866122,-1.0,sl
XAU,ema_trend_pullback,2025-12-17 01:41:00+00:00,2025-12-17 01:46:00+00:00,BUY,5,4323.32,4325.429222460865,2.1092224608658965,1.0,tp
XAU,ema_trend_pullback,2025-12-17 03:45:00+00:00,2025-12-17 03:47:00+00:00,BUY,2,4322.1,4323.269666168131,1.1696661681309335,1.0,tp
XAU,ema_trend_pullback,2025-12-17 04:50:00+00:00,2025-12-17 04:51:00+00:00,BUY,1,4328.9,4330.105379514411,1.2053795144109185,1.0,tp
XAU,ema_trend_pullback,2025-12-17 05:00:00+00:00,2025-12-17 05:01:00+00:00,BUY,1,4330.65,4329.535487714416,1.1145122855832874,-1.0,sl
XAU,ema_trend_pullback,2025-12-17 06:38:00+00:00,2025-12-17 06:39:00+00:00,SELL,1,4329.11,4327.445955655075,1.6640443449250732,1.0,tp
XAU,ema_trend_pullback,2025-12-17 09:11:00+00:00,2025-12-17 09:12:00+00:00,BUY,1,4321.7,4320.376541988034,1.3234580119656871,-1.0,sl
XAU,ema_trend_pullback,2025-12-17 10:04:00+00:00,2025-12-17 10:13:00+00:00,SELL,9,4317.35,4318.4400537191095,1.0900537191090285,-1.0,sl
XAU,ema_trend_pullback,2025-12-17 12:26:00+00:00,2025-12-17 12:30:00+00:00,BUY,4,4320.74,4321.958442838687,1.2184428386875263,1.0,tp
XAU,ema_trend_pullback,2025-12-17 13:15:00+00:00,2025-12-17 13:16:00+00:00,BUY,1,4325.82,4327.948795323527,2.1287953235267065,1.0,tp
XAU,ema_trend_pullback,2025-12-17 13:26:00+00:00,2025-12-17 13:30:00+00:00,BUY,4,4329.25,4331.389701713243,2.139701713243011,1.0,tp
XAU,ema_trend_pullback,2025-12-17 14:07:00+00:00,2025-12-17 14:10:00+00:00,BUY,3,4343.39,4341.392036780347,1.9979632196540063,-1.0,sl
XAU,ema_trend_pullback,2025-12-17 18:47:00+00:00,2025-12-17 18:53:00+00:00,SELL,6,4330.4,4333.207817266159,2.807817266158767,-1.0,sl
XAU,ema_trend_pullback,2025-12-17 20:20:00+00:00,2025-12-17 20:25:00+00:00,BUY,5,4341.62,4340.20910885743,1.410891142569678,-1.0,sl
XAU,ema_trend_pullback,2025-12-17 20:26:00+00:00,2025-12-17 20:31:00+00:00,BUY,5,4341.55,4340.19960079671,1.3503992032900751,-1.0,sl
XAU,ema_trend_pullback,2025-12-17 23:13:00+00:00,2025-12-17 23:14:00+00:00,SELL,1,4337.84,4336.762574849652,1.0774251503481,1.0,tp
XAU,ema_trend_pullback,2025-12-18 04:18:00+00:00,2025-12-18 04:22:00+00:00,SELL,4,4330.14,4331.044879889776,0.904879889775639,-1.0,sl
XAU,ema_trend_pullback,2025-12-18 05:18:00+00:00,2025-12-18 05:25:00+00:00,BUY,7,4336.41,4335.352755582805,1.0572444171950686,-1.0,sl
XAU,ema_trend_pullback,2025-12-18 07:36:00+00:00,2025-12-18 07:40:00+00:00,BUY,4,4335.25,4334.025554511476,1.2244454885244291,-1.0,sl
XAU,ema_trend_pullback,2025-12-18 12:33:00+00:00,2025-12-18 12:36:00+00:00,SELL,3,4319.38,4320.655314678755,1.2753146787548935,-1.0,sl
XAU,ema_trend_pullback,2025-12-18 14:48:00+00:00,2025-12-18 14:50:00+00:00,SELL,2,4313.04,4317.965589040562,4.92558904056205,-1.0,sl
XAU,ema_trend_pullback,2025-12-18 16:25:00+00:00,2025-12-18 16:28:00+00:00,BUY,3,4370.79,4367.503206524105,3.2867934758949,-1.0,sl
XAU,ema_trend_pullback,2025-12-18 17:20:00+00:00,2025-12-18 17:22:00+00:00,SELL,2,4327.13,4332.4314624936615,5.301462493661629,-1.0,sl
XAU,ema_trend_pullback,2025-12-18 17:24:00+00:00,2025-12-18 17:31:00+00:00,SELL,7,4326.3,4331.061088993214,4.76108899321417,-1.0,sl
XAU,ema_trend_pullback,2025-12-18 20:14:00+00:00,2025-12-18 20:16:00+00:00,BUY,2,4333.56,4331.883546638595,1.676453361405266,-1.0,sl
XAU,ema_trend_pullback,2025-12-18 22:14:00+00:00,2025-12-18 22:16:00+00:00,BUY,2,4333.65,4331.942961484799,1.707038515200816,-1.0,sl
XAU,ema_trend_pullback,2025-12-19 01:33:00+00:00,2025-12-19 01:34:00+00:00,SELL,1,4314.65,4311.816079902619,2.833920097380971,1.0,tp
XAU,ema_trend_pullback,2025-12-19 02:07:00+00:00,2025-12-19 02:13:00+00:00,BUY,6,4325.51,4323.996885689596,1.5131143104046727,-1.0,sl
XAU,ema_trend_pullback,2025-12-19 05:39:00+00:00,2025-12-19 05:47:00+00:00,BUY,8,4325.34,4326.734678095308,1.394678095307411,1.0,tp
XAU,ema_trend_pullback,2025-12-19 15:12:00+00:00,2025-12-19 15:16:00+00:00,BUY,4,4342.0,4344.436161976544,2.436161976544131,1.0,tp
XAU,ema_trend_pullback,2025-12-19 15:22:00+00:00,2025-12-19 15:24:00+00:00,BUY,2,4344.88,4342.7635286057875,2.1164713942129705,-1.0,sl
XAU,ema_trend_pullback,2025-12-19 17:11:00+00:00,2025-12-19 17:13:00+00:00,BUY,2,4351.35,4349.756575732824,1.593424267176094,-1.0,sl
XAU,ema_trend_pullback,2025-12-19 18:48:00+00:00,2025-12-19 18:51:00+00:00,SELL,3,4345.83,4347.406195141495,1.5761951414954465,-1.0,sl
XAU,ema_trend_pullback,2025-12-19 20:17:00+00:00,2025-12-19 20:20:00+00:00,SELL,3,4342.15,4343.161193722121,1.0111937221220786,-1.0,sl
XAU,ema_trend_pullback,2025-12-19 20:53:00+00:00,2025-12-19 20:55:00+00:00,SELL,2,4338.44,4339.627875451508,1.1878754515078644,-1.0,sl
XAU,ema_trend_pullback,2025-12-19 22:17:00+00:00,2025-12-19 22:20:00+00:00,SELL,3,4342.25,4343.277843088876,1.0278430888754242,-1.0,sl
XAU,ema_trend_pullback,2025-12-19 22:53:00+00:00,2025-12-19 22:55:00+00:00,SELL,2,4338.54,4337.31764814004,1.2223518599602226,1.0,tp
XAU,ema_trend_pullback,2025-12-21 23:19:00+00:00,2025-12-21 23:22:00+00:00,BUY,3,4345.54,4347.028400928464,1.488400928464437,1.0,tp
XAU,ema_trend_pullback,2025-12-21 23:34:00+00:00,2025-12-21 23:40:00+00:00,BUY,6,4348.2,4346.991724434617,1.2082755653832074,-1.0,sl
XAU,ema_trend_pullback,2025-12-21 23:58:00+00:00,2025-12-21 23:59:00+00:00,BUY,1,4354.33,4355.6009672922,1.2709672922002118,1.0,tp
XAU,ema_trend_pullback,2025-12-22 01:34:00+00:00,2025-12-22 01:36:00+00:00,BUY,2,4369.95,4372.054033445421,2.104033445420987,1.0,tp
XAU,ema_trend_pullback,2025-12-22 01:51:00+00:00,2025-12-22 01:59:00+00:00,BUY,8,4381.85,4384.266214485287,2.4162144852863547,1.0,tp
XAU,ema_trend_pullback,2025-12-22 02:00:00+00:00,2025-12-22 02:06:00+00:00,BUY,6,4383.18,4381.437705000599,1.7422949994013337,-1.0,sl
XAU,ema_trend_pullback,2025-12-22 02:58:00+00:00,2025-12-22 03:00:00+00:00,BUY,2,4386.8,4385.1395691549515,1.6604308450491567,-1.0,sl
XAU,ema_trend_pullback,2025-12-22 10:37:00+00:00,2025-12-22 10:39:00+00:00,SELL,2,4409.77,4411.038782672874,1.268782672873048,-1.0,sl
XAU,ema_trend_pullback,2025-12-22 13:06:00+00:00,2025-12-22 13:08:00+00:00,BUY,2,4418.66,4420.295036670802,1.6350366708021387,1.0,tp
XAU,ema_trend_pullback,2025-12-22 20:31:00+00:00,2025-12-22 20:32:00+00:00,SELL,1,4432.96,4431.94710705922,1.0128929407798635,1.0,tp
XAU,ema_trend_pullback,2025-12-22 20:58:00+00:00,2025-12-22 21:01:00+00:00,BUY,3,4438.27,4439.346678697426,1.0766786974255518,1.0,tp
XAU,ema_trend_pullback,2025-12-22 21:23:00+00:00,2025-12-22 21:26:00+00:00,BUY,3,4443.0,4443.553296757538,0.5532967575384078,1.0,tp
XAU,ema_trend_pullback,2025-12-22 21:36:00+00:00,2025-12-22 21:37:00+00:00,BUY,1,4446.97,4445.974570553223,0.9954294467769015,-1.0,sl
XAU,ema_trend_pullback,2025-12-22 22:17:00+00:00,2025-12-22 22:18:00+00:00,SELL,1,4436.7,4435.711050494401,0.9889495055981903,1.0,tp
XAU,ema_trend_pullback,2025-12-22 22:31:00+00:00,2025-12-22 22:32:00+00:00,SELL,1,4433.02,4431.961595916588,1.0584040834125734,1.0,tp
XAU,ema_trend_pullback,2025-12-22 22:34:00+00:00,2025-12-22 22:39:00+00:00,SELL,5,4433.0,4434.202297413706,1.2022974137060514,-1.0,sl
XAU,ema_trend_pullback,2025-12-23 02:46:00+00:00,2025-12-23 02:47:00+00:00,BUY,1,4495.32,4493.758753421048,1.561246578952132,-1.0,sl
XAU,ema_trend_pullback,2025-12-23 03:23:00+00:00,2025-12-23 03:25:00+00:00,SELL,2,4485.55,4483.800673485692,1.7493265143084453,1.0,tp
XAU,ema_trend_pullback,2025-12-23 07:27:00+00:00,2025-12-23 07:31:00+00:00,BUY,4,4484.5,4485.377606137753,0.8776061377529557,1.0,tp
XAU,ema_trend_pullback,2025-12-23 07:35:00+00:00,2025-12-23 07:36:00+00:00,BUY,1,4485.83,4484.914927437805,0.9150725621945757,-1.0,sl
XAU,ema_trend_pullback,2025-12-23 07:53:00+00:00,2025-12-23 07:55:00+00:00,BUY,2,4486.99,4487.9869054603605,0.996905460360345,1.0,tp
XAU,ema_trend_pullback,2025-12-23 09:18:00+00:00,2025-12-23 09:21:00+00:00,SELL,3,4481.13,4482.9749825416575,1.844982541657098,-1.0,sl
XAU,ema_trend_pullback,2025-12-23 11:50:00+00:00,2025-12-23 11:51:00+00:00,BUY,1,4489.18,4490.189667734221,1.0096677342205773,1.0,tp
XAU,ema_trend_pullback,2025-12-23 12:26:00+00:00,2025-12-23 12:29:00+00:00,SELL,3,4484.72,4485.575354884107,0.8553548841067945,-1.0,sl
XAU,ema_trend_pullback,2025-12-23 14:00:00+00:00,2025-12-23 14:05:00+00:00,SELL,5,4474.79,4471.137958571074,3.6520414289258003,1.0,tp
XAU,ema_trend_pullback,2025-12-23 15:45:00+00:00,2025-12-23 15:47:00+00:00,BUY,2,4454.89,4452.195531653515,2.6944683464857913,-1.0,sl
XAU,ema_trend_pullback,2025-12-23 17:01:00+00:00,2025-12-23 17:02:00+00:00,BUY,1,4474.04,4475.710753411151,1.6707534111513622,1.0,tp
XAU,ema_trend_pullback,2025-12-23 19:14:00+00:00,2025-12-23 19:17:00+00:00,BUY,3,4493.7,4491.461649306659,2.2383506933411526,-1.0,sl
XAU,ema_trend_pullback,2025-12-23 21:53:00+00:00,2025-12-23 21:54:00+00:00,SELL,1,4488.44,4487.677323010772,0.7626769892280688,1.0,tp
XAU,ema_trend_pullback,2025-12-23 22:14:00+00:00,2025-12-23 22:17:00+00:00,BUY,3,4493.62,4492.441104869193,1.1788951308074378,-1.0,sl
XAU,ema_trend_pullback,2025-12-23 23:46:00+00:00,2025-12-23 23:50:00+00:00,BUY,4,4505.26,4503.166238214392,2.0937617856083386,-1.0,sl
XAU,ema_trend_pullback,2025-12-24 01:34:00+00:00,2025-12-24 01:44:00+00:00,BUY,10,4521.03,4520.13,2.57552567994354,-0.3494432251280701,timeout
