asset,strategy,entry_time,exit_time,direction,bars_held,entry,exit,atr_entry,pnl_r,exit_reason
XAU,macd_ema_confirm,2025-12-09 21:45:00+00:00,2025-12-09 21:50:00+00:00,SELL,5,4207.62,4208.4979815537035,0.8779815537036033,-1.0,sl
XAU,macd_ema_confirm,2025-12-09 21:51:00+00:00,2025-12-09 21:52:00+00:00,BUY,1,4210.76,4211.812667405454,1.052667405453885,1.0,tp
XAU,macd_ema_confirm,2025-12-09 22:11:00+00:00,2025-12-09 22:12:00+00:00,BUY,1,4215.67,4214.462494445806,1.2075055541937374,-1.0,sl
XAU,macd_ema_confirm,2025-12-09 22:58:00+00:00,2025-12-09 23:00:00+00:00,BUY,2,4212.51,4211.627327390104,0.8826726098962289,-1.0,sl
XAU,macd_ema_confirm,2025-12-09 23:07:00+00:00,2025-12-09 23:09:00+00:00,BUY,2,4212.82,4211.931934590178,0.888065409822111,-1.0,sl
XAU,macd_ema_confirm,2025-12-09 23:31:00+00:00,2025-12-09 23:32:00+00:00,SELL,1,4209.48,4208.878493357808,0.6015066421916362,1.0,tp
XAU,macd_ema_confirm,2025-12-09 23:55:00+00:00,2025-12-09 23:58:00+00:00,SELL,3,4207.71,4208.415189137081,0.7051891370810599,-1.0,sl
XAU,macd_ema_confirm,2025-12-10 01:13:00+00:00,2025-12-10 01:16:00+00:00,SELL,3,4208.57,4209.590118611724,1.0201186117250678,-1.0,sl
XAU,macd_ema_confirm,2025-12-10 01:17:00+00:00,2025-12-10 01:19:00+00:00,BUY,2,4210.16,4209.117610120109,1.04238987989092,-1.0,sl
XAU,macd_ema_confirm,2025-12-10 01:20:00+00:00,2025-12-10 01:26:00+00:00,SELL,6,4208.62,4209.701899426998,1.0818994269986784,-1.0,sl
XAU,macd_ema_confirm,2025-12-10 01:42:00+00:00,2025-12-10 01:43:00+00:00,BUY,1,4210.91,4210.1866437724675,0.7233562275323898,-1.0,sl
XAU,macd_ema_confirm,2025-12-10 01:44:00+00:00,2025-12-10 01:48:00+00:00,BUY,4,4211.25,4212.077320899791,0.827320899791058,1.0,tp
XAU,macd_ema_confirm,2025-12-10 02:01:00+00:00,2025-12-10 02:02:00+00:00,BUY,1,4212.65,4211.796806077268,0.8531939227309764,-1.0,sl
XAU,macd_ema_confirm,2025-12-10 02:37:00+00:00,2025-12-10 02:43:00+00:00,SELL,6,4207.93,4207.138307647959,0.7916923520412928,1.0,tp
XAU,macd_ema_confirm,2025-12-10 03:03:00+00:00,2025-12-10 03:04:00+00:00,SELL,1,4207.34,4208.690556636463,1.3505566364631538,-1.0,sl
XAU,macd_ema_confirm,2025-12-10 05:06:00+00:00,2025-12-10 05:08:00+00:00,SELL,2,4206.35,4205.728700589408,0.6212994105922645,1.0,tp
XAU,macd_ema_confirm,2025-12-10 06:34:00+00:00,2025-12-10 06:37:00+00:00,SELL,3,4203.5,4204.770461653064,1.2704616530636372,-1.0,sl
XAU,macd_ema_confirm,2025-12-10 07:18:00+00:00,2025-12-10 07:22:00+00:00,BUY,4,4208.46,4207.353564930303,1.1064350696970593,-1.0,sl
XAU,macd_ema_confirm,2025-12-10 07:30:00+00:00,2025-12-10 07:34:00+00:00,BUY,4,4207.92,4207.088676905068,0.8313230949328942,-1.0,sl
XAU,macd_ema_confirm,2025-12-10 07:40:00+00:00,2025-12-10 07:42:00+00:00,BUY,2,4207.96,4207.1565770221,0.8034229779002089,-1.0,sl
XAU,macd_ema_confirm,2025-12-10 08:09:00+00:00,2025-12-10 08:10:00+00:00,SELL,1,4202.68,4201.5273254965505,1.1526745034494417,1.0,tp
XAU,macd_ema_confirm,2025-12-10 08:30:00+00:00,2025-12-10 08:33:00+00:00,SELL,3,4203.68,4202.658789944856,1.0212100551447052,1.0,tp
XAU,macd_ema_confirm,2025-12-10 08:50:00+00:00,2025-12-10 08:52:00+00:00,SELL,2,4200.12,4198.845415809819,1.2745841901807293,1.0,tp
XAU,macd_ema_confirm,2025-12-10 09:17:00+00:00,2025-12-10 09:21:00+00:00,SELL,4,4196.79,4195.480563232401,1.3094367675987442,1.0,tp
XAU,macd_ema_confirm,2025-12-10 09:35:00+00:00,2025-12-10 09:39:00+00:00,SELL,4,4195.91,4194.921802016715,0.9881979832843245,1.0,tp
XAU,macd_ema_confirm,2025-12-10 09:55:00+00:00,2025-12-10 09:59:00+00:00,SELL,4,4193.4,4194.424380092149,1.0243800921485766,-1.0,sl
XAU,macd_ema_confirm,2025-12-10 10:00:00+00:00,2025-12-10 10:01:00+00:00,SELL,1,4193.23,4194.4050826107705,1.1750826107710746,-1.0,sl
XAU,macd_ema_confirm,2025-12-10 10:05:00+00:00,2025-12-10 10:07:00+00:00,SELL,2,4192.44,4193.831845119737,1.3918451197379,-1.0,sl
XAU,macd_ema_confirm,2025-12-10 10:22:00+00:00,2025-12-10 10:26:00+00:00,SELL,4,4193.01,4194.221986282438,1.2119862824371066,-1.0,sl
XAU,macd_ema_confirm,2025-12-10 10:50:00+00:00,2025-12-10 10:51:00+00:00,SELL,1,4192.79,4191.847954392898,0.9420456071020756,1.0,tp
XAU,macd_ema_confirm,2025-12-10 11:08:00+00:00,2025-12-10 11:09:00+00:00,SELL,1,4192.77,4193.615972232121,0.8459722321206334,-1.0,sl
XAU,macd_ema_confirm,2025-12-10 11:35:00+00:00,2025-12-10 11:37:00+00:00,BUY,2,4195.94,4196.740272054836,0.8002720548367328,1.0,tp
XAU,macd_ema_confirm,2025-12-10 11:51:00+00:00,2025-12-10 11:56:00+00:00,BUY,5,4196.67,4195.968263787741,0.7017362122586179,-1.0,sl
XAU,macd_ema_confirm,2025-12-10 11:58:00+00:00,2025-12-10 12:00:00+00:00,BUY,2,4197.58,4198.383830380302,0.8038303803020598,1.0,tp
XAU,macd_ema_confirm,2025-12-10 12:40:00+00:00,2025-12-10 12:42:00+00:00,SELL,2,4197.28,4198.212113448348,0.9321134483475589,-1.0,sl
XAU,macd_ema_confirm,2025-12-10 12:47:00+00:00,2025-12-10 12:51:00+00:00,SELL,4,4197.65,4196.7897098398635,0.8602901601364361,1.0,tp
XAU,macd_ema_confirm,2025-12-10 13:12:00+00:00,2025-12-10 13:15:00+00:00,SELL,3,4194.97,4196.784645019786,1.8146450197858701,-1.0,sl
XAU,macd_ema_confirm,2025-12-10 13:19:00+00:00,2025-12-10 13:22:00+00:00,SELL,3,4194.56,4196.343131609565,1.7831316095647514,-1.0,sl
XAU,macd_ema_confirm,2025-12-10 13:38:00+00:00,2025-12-10 13:40:00+00:00,BUY,2,4198.73,4197.141533108319,1.588466891680298,-1.0,sl
XAU,macd_ema_confirm,2025-12-10 13:43:00+00:00,2025-12-10 13:44:00+00:00,BUY,1,4199.98,4201.587051585333,1.6070515853335812,1.0,tp
XAU,macd_ema_confirm,2025-12-10 13:57:00+00:00,2025-12-10 13:59:00+00:00,BUY,2,4203.7,4202.040577482352,1.6594225176472728,-1.0,sl
XAU,macd_ema_confirm,2025-12-10 14:07:00+00:00,2025-12-10 14:11:00+00:00,BUY,4,4204.43,4206.29168807521,1.86168807520996,1.0,tp
XAU,macd_ema_confirm,2025-12-10 15:13:00+00:00,2025-12-10 15:16:00+00:00,SELL,3,4195.5,4193.279658971933,2.2203410280673386,1.0,tp
XAU,macd_ema_confirm,2025-12-10 16:42:00+00:00,2025-12-10 16:47:00+00:00,BUY,5,4202.44,4203.777001772391,1.3370017723908194,1.0,tp
XAU,macd_ema_confirm,2025-12-10 17:30:00+00:00,2025-12-10 17:35:00+00:00,SELL,5,4200.43,4199.256574495134,1.1734255048656574,1.0,tp
XAU,macd_ema_confirm,2025-12-10 17:42:00+00:00,2025-12-10 17:45:00+00:00,SELL,3,4199.23,4198.022755249973,1.2072447500266932,1.0,tp
XAU,macd_ema_confirm,2025-12-10 18:08:00+00:00,2025-12-10 18:09:00+00:00,SELL,1,4198.88,4199.731847827368,0.8518478273683537,-1.0,sl
XAU,macd_ema_confirm,2025-12-10 18:14:00+00:00,2025-12-10 18:18:00+00:00,SELL,4,4199.16,4198.419997255658,0.7400027443420101,1.0,tp
XAU,macd_ema_confirm,2025-12-10 18:39:00+00:00,2025-12-10 18:40:00+00:00,SELL,1,4192.25,4193.543932780542,1.293932780542019,-1.0,sl
XAU,macd_ema_confirm,2025-12-10 20:50:00+00:00,2025-12-10 20:51:00+00:00,BUY,1,4235.66,4233.5229976009805,2.137002399019136,-1.0,sl
XAU,macd_ema_confirm,2025-12-10 21:20:00+00:00,2025-12-10 21:23:00+00:00,SELL,3,4224.18,4226.082175929312,1.902175929311867,-1.0,sl
XAU,macd_ema_confirm,2025-12-10 21:58:00+00:00,2025-12-10 22:00:00+00:00,BUY,2,4228.5,4227.571099767711,0.9289002322891584,-1.0,sl
XAU,macd_ema_confirm,2025-12-10 22:45:00+00:00,2025-12-10 22:46:00+00:00,BUY,1,4234.18,4236.549394028778,2.3693940287774025,1.0,tp
XAU,macd_ema_confirm,2025-12-11 00:01:00+00:00,2025-12-11 00:08:00+00:00,BUY,7,4234.68,4235.986776656296,1.3067766562956948,1.0,tp
XAU,macd_ema_confirm,2025-12-11 02:29:00+00:00,2025-12-11 02:30:00+00:00,SELL,1,4229.92,4228.409444754964,1.5105552450359687,1.0,tp
XAU,macd_ema_confirm,2025-12-11 02:58:00+00:00,2025-12-11 03:00:00+00:00,SELL,2,4223.35,4221.878645753363,1.4713542466373184,1.0,tp
XAU,macd_ema_confirm,2025-12-11 04:10:00+00:00,2025-12-11 04:12:00+00:00,BUY,2,4216.63,4217.587557933069,0.9575579330682078,1.0,tp
XAU,macd_ema_confirm,2025-12-11 04:38:00+00:00,2025-12-11 04:40:00+00:00,SELL,2,4212.78,4213.982729891652,1.2027298916515763,-1.0,sl
XAU,macd_ema_confirm,2025-12-11 04:43:00+00:00,2025-12-11 04:45:00+00:00,SELL,2,4212.19,4210.781929587278,1.4080704127222752,1.0,tp
XAU,macd_ema_confirm,2025-12-11 05:39:00+00:00,2025-12-11 05:42:00+00:00,SELL,3,4208.76,4210.507497595875,1.7474975958744858,-1.0,sl
XAU,macd_ema_confirm,2025-12-11 06:00:00+00:00,2025-12-11 06:04:00+00:00,SELL,4,4205.84,4207.375594486128,1.535594486127151,-1.0,sl
XAU,macd_ema_confirm,2025-12-11 06:22:00+00:00,2025-12-11 06:26:00+00:00,BUY,4,4210.7,4211.8649393208625,1.1649393208631,1.0,tp
XAU,macd_ema_confirm,2025-12-11 07:27:00+00:00,2025-12-11 07:29:00+00:00,BUY,2,4214.04,4213.033321529533,1.0066784704669567,-1.0,sl
XAU,macd_ema_confirm,2025-12-11 07:31:00+00:00,2025-12-11 07:35:00+00:00,SELL,4,4212.16,4213.296299926815,1.1362999268149065,-1.0,sl
XAU,macd_ema_confirm,2025-12-11 08:09:00+00:00,2025-12-11 08:13:00+00:00,BUY,4,4217.42,4216.15377357206,1.2662264279398383,-1.0,sl
XAU,macd_ema_confirm,2025-12-11 08:23:00+00:00,2025-12-11 08:24:00+00:00,BUY,1,4216.34,4215.052360173414,1.2876398265862028,-1.0,sl
XAU,macd_ema_confirm,2025-12-11 08:51:00+00:00,2025-12-11 08:53:00+00:00,BUY,2,4218.39,4216.988849548586,1.4011504514145725,-1.0,sl
XAU,macd_ema_confirm,2025-12-11 09:42:00+00:00,2025-12-11 09:43:00+00:00,BUY,1,4216.21,4217.346845116537,1.1368451165375415,1.0,tp
XAU,macd_ema_confirm,2025-12-11 10:03:00+00:00,2025-12-11 10:06:00+00:00,BUY,3,4222.43,4223.701148115109,1.2711481151087463,1.0,tp
XAU,macd_ema_confirm,2025-12-11 11:29:00+00:00,2025-12-11 11:30:00+00:00,SELL,1,4214.87,4213.8519240040605,1.0180759959396086,1.0,tp
XAU,macd_ema_confirm,2025-12-11 11:52:00+00:00,2025-12-11 11:53:00+00:00,SELL,1,4212.28,4211.294420137711,0.985579862288628,1.0,tp
XAU,macd_ema_confirm,2025-12-11 12:56:00+00:00,2025-12-11 12:57:00+00:00,BUY,1,4219.89,4218.9770913402035,0.912908659796998,-1.0,sl
XAU,macd_ema_confirm,2025-12-11 14:08:00+00:00,2025-12-11 14:09:00+00:00,BUY,1,4225.79,4223.666796970876,2.1232030291237467,-1.0,sl
XAU,macd_ema_confirm,2025-12-11 14:23:00+00:00,2025-12-11 14:25:00+00:00,BUY,2,4230.47,4228.406999626487,2.0630003735129048,-1.0,sl
XAU,macd_ema_confirm,2025-12-11 14:29:00+00:00,2025-12-11 14:31:00+00:00,BUY,2,4231.07,4233.204542165146,2.134542165146836,1.0,tp
XAU,macd_ema_confirm,2025-12-11 15:33:00+00:00,2025-12-11 15:36:00+00:00,BUY,3,4245.05,4242.598686269548,2.451313730451623,-1.0,sl
XAU,macd_ema_confirm,2025-12-11 16:17:00+00:00,2025-12-11 16:19:00+00:00,BUY,2,4257.08,4259.240503430457,2.160503430456594,1.0,tp
XAU,macd_ema_confirm,2025-12-11 16:38:00+00:00,2025-12-11 16:43:00+00:00,BUY,5,4259.43,4261.609741035207,2.179741035206775,1.0,tp
XAU,macd_ema_confirm,2025-12-11 17:08:00+00:00,2025-12-11 17:11:00+00:00,BUY,3,4279.37,4276.831884844606,2.538115155393949,-1.0,sl
XAU,macd_ema_confirm,2025-12-11 17:49:00+00:00,2025-12-11 17:52:00+00:00,SELL,3,4275.04,4276.840107154873,1.8001071548736398,-1.0,sl
XAU,macd_ema_confirm,2025-12-11 17:53:00+00:00,2025-12-11 17:55:00+00:00,BUY,2,4276.39,4278.042186478032,1.6521864780316455,1.0,tp
XAU,macd_ema_confirm,2025-12-11 18:48:00+00:00,2025-12-11 18:49:00+00:00,SELL,1,4278.96,4280.434569138332,1.4745691383320563,-1.0,sl
XAU,macd_ema_confirm,2025-12-11 19:08:00+00:00,2025-12-11 19:09:00+00:00,SELL,1,4263.76,4266.545774405676,2.785774405675693,-1.0,sl
XAU,macd_ema_confirm,2025-12-11 20:17:00+00:00,2025-12-11 20:27:00+00:00,SELL,10,4267.29,4268.21,2.162230222163615,-0.4254866066387156,timeout
XAU,macd_ema_confirm,2025-12-11 20:53:00+00:00,2025-12-11 20:56:00+00:00,BUY,3,4273.97,4275.36369845169,1.3936984516895723,1.0,tp
XAU,macd_ema_confirm,2025-12-11 21:19:00+00:00,2025-12-11 21:21:00+00:00,BUY,2,4275.02,4275.987520841582,0.9675208415821694,1.0,tp
XAU,macd_ema_confirm,2025-12-11 22:52:00+00:00,2025-12-11 22:56:00+00:00,BUY,4,4274.4,4275.762175095564,1.3621750955647516,1.0,tp
XAU,macd_ema_confirm,2025-12-12 00:03:00+00:00,2025-12-12 00:06:00+00:00,SELL,3,4274.66,4276.32549092734,1.6654909273399954,-1.0,sl
XAU,macd_ema_confirm,2025-12-12 00:09:00+00:00,2025-12-12 00:12:00+00:00,SELL,3,4274.31,4275.745691516269,1.4356915162691757,-1.0,sl
XAU,macd_ema_confirm,2025-12-12 01:21:00+00:00,2025-12-12 01:24:00+00:00,SELL,3,4266.75,4269.00450910775,2.2545091077497004,-1.0,sl
XAU,macd_ema_confirm,2025-12-12 02:00:00+00:00,2025-12-12 02:01:00+00:00,BUY,1,4271.88,4273.425829724416,1.5458297244161654,1.0,tp
XAU,macd_ema_confirm,2025-12-12 02:33:00+00:00,2025-12-12 02:34:00+00:00,BUY,1,4276.36,4274.977731425822,1.3822685741780236,-1.0,sl
XAU,macd_ema_confirm,2025-12-12 02:37:00+00:00,2025-12-12 02:39:00+00:00,BUY,2,4276.39,4274.779166760552,1.6108332394488292,-1.0,sl
XAU,macd_ema_confirm,2025-12-12 03:17:00+00:00,2025-12-12 03:19:00+00:00,SELL,2,4271.12,4269.803149479915,1.3168505200848688,1.0,tp
XAU,macd_ema_confirm,2025-12-12 03:34:00+00:00,2025-12-12 03:35:00+00:00,SELL,1,4269.72,4270.698845790203,0.9788457902031448,-1.0,sl
XAU,macd_ema_confirm,2025-12-12 04:32:00+00:00,2025-12-12 04:35:00+00:00,SELL,3,4266.91,4267.672585378431,0.7625853784313984,-1.0,sl
XAU,macd_ema_confirm,2025-12-12 04:58:00+00:00,2025-12-12 05:02:00+00:00,SELL,4,4266.61,4267.3240682333,0.7140682333001633,-1.0,sl
XAU,macd_ema_confirm,2025-12-12 06:23:00+00:00,2025-12-12 06:28:00+00:00,BUY,5,4279.63,4280.824235951023,1.1942359510231186,1.0,tp
XAU,macd_ema_confirm,2025-12-12 06:45:00+00:00,2025-12-12 06:55:00+00:00,BUY,10,4282.26,4282.13,1.204172005016692,-0.10795799890590141,timeout
XAU,macd_ema_confirm,2025-12-12 07:06:00+00:00,2025-12-12 07:07:00+00:00,BUY,1,4283.99,4284.939315994981,0.9493159949814799,1.0,tp
XAU,macd_ema_confirm,2025-12-12 07:17:00+00:00,2025-12-12 07:19:00+00:00,BUY,2,4287.23,4285.819906379152,1.4100936208476271,-1.0,sl
XAU,macd_ema_confirm,2025-12-12 07:32:00+00:00,2025-12-12 07:35:00+00:00,BUY,3,4288.14,4289.338184164026,1.1981841640252884,1.0,tp
XAU,macd_ema_confirm,2025-12-12 07:47:00+00:00,2025-12-12 07:50:00+00:00,BUY,3,4288.34,4286.990550626819,1.3494493731809787,-1.0,sl
XAU,macd_ema_confirm,2025-12-12 08:00:00+00:00,2025-12-12 08:02:00+00:00,BUY,2,4289.37,4288.22888106382,1.141118936179467,-1.0,sl
XAU,macd_ema_confirm,2025-12-12 08:31:00+00:00,2025-12-12 08:34:00+00:00,BUY,3,4295.75,4296.963888173398,1.2138881733982263,1.0,tp
XAU,macd_ema_confirm,2025-12-12 09:02:00+00:00,2025-12-12 09:08:00+00:00,BUY,6,4312.27,4310.591876447547,1.6781235524532028,-1.0,sl
XAU,macd_ema_confirm,2025-12-12 09:14:00+00:00,2025-12-12 09:16:00+00:00,BUY,2,4316.88,4315.145310927583,1.734689072417182,-1.0,sl
XAU,macd_ema_confirm,2025-12-12 10:12:00+00:00,2025-12-12 10:21:00+00:00,BUY,9,4319.69,4321.3986753746885,1.7086753746885843,1.0,tp
XAU,macd_ema_confirm,2025-12-12 10:34:00+00:00,2025-12-12 10:40:00+00:00,BUY,6,4323.07,4325.205745229659,2.13574522965986,1.0,tp
XAU,macd_ema_confirm,2025-12-12 11:03:00+00:00,2025-12-12 11:06:00+00:00,BUY,3,4333.16,4335.542339679283,2.382339679283269,1.0,tp
XAU,macd_ema_confirm,2025-12-12 11:43:00+00:00,2025-12-12 11:46:00+00:00,BUY,3,4335.82,4337.315638034858,1.4956380348584435,1.0,tp
XAU,macd_ema_confirm,2025-12-12 12:01:00+00:00,2025-12-12 12:02:00+00:00,BUY,1,4338.32,4336.576402085065,1.7435979149353216,-1.0,sl
XAU,macd_ema_confirm,2025-12-12 12:22:00+00:00,2025-12-12 12:23:00+00:00,SELL,1,4332.14,4330.530534639233,1.609465360766558,1.0,tp
