asset,strategy,entry_time,exit_time,direction,bars_held,entry,exit,atr_entry,pnl_r,exit_reason
XAU,rsi_reversal_30_70,2025-12-09 21:57:00+00:00,2025-12-09 22:00:00+00:00,SELL,3,4213.13,4214.286049578197,1.156049578196973,-1.0,sl
XAU,rsi_reversal_30_70,2025-12-10 03:15:00+00:00,2025-12-10 03:17:00+00:00,SELL,2,4214.25,4215.833578568516,1.5835785685156476,-1.0,sl
XAU,rsi_reversal_30_70,2025-12-10 03:23:00+00:00,2025-12-10 03:25:00+00:00,SELL,2,4215.31,4213.741390423283,1.5686095767179618,1.0,tp
XAU,rsi_reversal_30_70,2025-12-10 03:44:00+00:00,2025-12-10 03:46:00+00:00,BUY,2,4207.24,4208.459147478697,1.2191474786965066,1.0,tp
XAU,rsi_reversal_30_70,2025-12-10 03:53:00+00:00,2025-12-10 03:54:00+00:00,BUY,1,4205.82,4204.721952646303,1.098047353696748,-1.0,sl
XAU,rsi_reversal_30_70,2025-12-10 03:56:00+00:00,2025-12-10 04:03:00+00:00,BUY,7,4205.6,4206.838065195873,1.2380651958731437,1.0,tp
XAU,rsi_reversal_30_70,2025-12-10 05:15:00+00:00,2025-12-10 05:16:00+00:00,BUY,1,4203.97,4203.174657248601,0.7953427513990253,-1.0,sl
XAU,rsi_reversal_30_70,2025-12-10 05:20:00+00:00,2025-12-10 05:21:00+00:00,BUY,1,4202.94,4203.809351553837,0.8693515538371817,1.0,tp
XAU,rsi_reversal_30_70,2025-12-10 05:49:00+00:00,2025-12-10 05:52:00+00:00,SELL,3,4212.59,4213.6807656244555,1.090765624455315,-1.0,sl
XAU,rsi_reversal_30_70,2025-12-10 05:53:00+00:00,2025-12-10 05:57:00+00:00,SELL,4,4213.02,4211.950115219752,1.069884780248261,1.0,tp
XAU,rsi_reversal_30_70,2025-12-10 06:21:00+00:00,2025-12-10 06:22:00+00:00,BUY,1,4207.03,4205.49375368568,1.536246314320238,-1.0,sl
XAU,rsi_reversal_30_70,2025-12-10 08:46:00+00:00,2025-12-10 08:51:00+00:00,BUY,5,4201.01,4199.699485500231,1.3105144997687512,-1.0,sl
XAU,rsi_reversal_30_70,2025-12-10 09:04:00+00:00,2025-12-10 09:05:00+00:00,BUY,1,4197.54,4199.249976528619,1.7099765286190822,1.0,tp
XAU,rsi_reversal_30_70,2025-12-10 12:04:00+00:00,2025-12-10 12:05:00+00:00,SELL,1,4198.87,4199.749357195423,0.8793571954231079,-1.0,sl
XAU,rsi_reversal_30_70,2025-12-10 12:07:00+00:00,2025-12-10 12:08:00+00:00,SELL,1,4199.93,4200.808384520991,0.8783845209910113,-1.0,sl
XAU,rsi_reversal_30_70,2025-12-10 12:09:00+00:00,2025-12-10 12:11:00+00:00,SELL,2,4200.62,4201.5369199291,0.9169199290999339,-1.0,sl
XAU,rsi_reversal_30_70,2025-12-10 12:12:00+00:00,2025-12-10 12:13:00+00:00,SELL,1,4201.0,4200.053039086153,0.9469609138466821,1.0,tp
XAU,rsi_reversal_30_70,2025-12-10 13:49:00+00:00,2025-12-10 13:51:00+00:00,SELL,2,4202.61,4204.239491146935,1.6294911469344964,-1.0,sl
XAU,rsi_reversal_30_70,2025-12-10 14:29:00+00:00,2025-12-10 14:31:00+00:00,BUY,2,4196.65,4198.368044850392,1.718044850392435,1.0,tp
XAU,rsi_reversal_30_70,2025-12-10 14:34:00+00:00,2025-12-10 14:35:00+00:00,BUY,1,4195.91,4193.110630746816,2.7993692531840404,-1.0,sl
XAU,rsi_reversal_30_70,2025-12-10 16:33:00+00:00,2025-12-10 16:35:00+00:00,SELL,2,4200.01,4201.440909908913,1.4309099089136426,-1.0,sl
XAU,rsi_reversal_30_70,2025-12-10 16:49:00+00:00,2025-12-10 16:52:00+00:00,SELL,3,4203.45,4204.582465974453,1.1324659744535601,-1.0,sl
XAU,rsi_reversal_30_70,2025-12-10 16:53:00+00:00,2025-12-10 16:55:00+00:00,SELL,2,4204.4,4203.372271788713,1.0277282112862018,1.0,tp
XAU,rsi_reversal_30_70,2025-12-10 18:28:00+00:00,2025-12-10 18:29:00+00:00,BUY,1,4194.97,4196.165199145307,1.1951991453069986,1.0,tp
XAU,rsi_reversal_30_70,2025-12-10 18:40:00+00:00,2025-12-10 18:50:00+00:00,BUY,10,4193.7,4194.29,1.3840750764696625,0.42627745418626334,timeout
XAU,rsi_reversal_30_70,2025-12-10 19:01:00+00:00,2025-12-10 19:03:00+00:00,SELL,2,4203.96,4199.734751219785,4.225248780214839,1.0,tp
XAU,rsi_reversal_30_70,2025-12-10 19:11:00+00:00,2025-12-10 19:21:00+00:00,SELL,10,4212.85,4212.18,4.8793780617658005,0.13731258195590734,timeout
XAU,rsi_reversal_30_70,2025-12-10 20:10:00+00:00,2025-12-10 20:12:00+00:00,SELL,2,4227.04,4231.625028668466,4.585028668466224,-1.0,sl
XAU,rsi_reversal_30_70,2025-12-10 20:19:00+00:00,2025-12-10 20:22:00+00:00,SELL,3,4233.84,4237.685655529855,3.8456555298540085,-1.0,sl
XAU,rsi_reversal_30_70,2025-12-10 22:02:00+00:00,2025-12-10 22:03:00+00:00,BUY,1,4218.04,4214.599666577098,3.4403334229019045,-1.0,sl
XAU,rsi_reversal_30_70,2025-12-10 23:56:00+00:00,2025-12-10 23:58:00+00:00,SELL,2,4232.47,4231.325731717608,1.144268282393091,1.0,tp
XAU,rsi_reversal_30_70,2025-12-11 00:03:00+00:00,2025-12-11 00:04:00+00:00,SELL,1,4234.17,4235.351712244062,1.1817122440620227,-1.0,sl
XAU,rsi_reversal_30_70,2025-12-11 00:18:00+00:00,2025-12-11 00:20:00+00:00,SELL,2,4241.11,4242.800212876418,1.690212876419067,-1.0,sl
XAU,rsi_reversal_30_70,2025-12-11 00:24:00+00:00,2025-12-11 00:26:00+00:00,SELL,2,4241.97,4240.265505605372,1.7044943946283546,1.0,tp
XAU,rsi_reversal_30_70,2025-12-11 02:12:00+00:00,2025-12-11 02:16:00+00:00,BUY,4,4233.25,4231.602390129258,1.647609870741722,-1.0,sl
XAU,rsi_reversal_30_70,2025-12-11 02:17:00+00:00,2025-12-11 02:22:00+00:00,BUY,5,4232.65,4234.231588980065,1.5815889800655163,1.0,tp
XAU,rsi_reversal_30_70,2025-12-11 02:32:00+00:00,2025-12-11 02:34:00+00:00,BUY,2,4229.23,4227.635360037527,1.5946399624722356,-1.0,sl
XAU,rsi_reversal_30_70,2025-12-11 02:37:00+00:00,2025-12-11 02:39:00+00:00,BUY,2,4225.39,4223.21031776713,2.1796822328705203,-1.0,sl
XAU,rsi_reversal_30_70,2025-12-11 02:42:00+00:00,2025-12-11 02:44:00+00:00,BUY,2,4224.96,4227.333687960875,2.3736879608748023,1.0,tp
XAU,rsi_reversal_30_70,2025-12-11 03:05:00+00:00,2025-12-11 03:08:00+00:00,BUY,3,4221.35,4219.742911282755,1.6070887172456008,-1.0,sl
XAU,rsi_reversal_30_70,2025-12-11 03:18:00+00:00,2025-12-11 03:20:00+00:00,BUY,2,4215.59,4212.989477056566,2.6005229434338633,-1.0,sl
XAU,rsi_reversal_30_70,2025-12-11 03:27:00+00:00,2025-12-11 03:32:00+00:00,BUY,5,4211.84,4213.830559942052,1.9905599420518132,1.0,tp
XAU,rsi_reversal_30_70,2025-12-11 04:29:00+00:00,2025-12-11 04:31:00+00:00,BUY,2,4212.96,4214.196256265946,1.2362562659465275,1.0,tp
XAU,rsi_reversal_30_70,2025-12-11 04:48:00+00:00,2025-12-11 04:53:00+00:00,BUY,5,4211.83,4213.50016760856,1.6701676085607895,1.0,tp
XAU,rsi_reversal_30_70,2025-12-11 05:22:00+00:00,2025-12-11 05:25:00+00:00,BUY,3,4211.45,4212.630100945056,1.1801009450561102,1.0,tp
XAU,rsi_reversal_30_70,2025-12-11 09:09:00+00:00,2025-12-11 09:18:00+00:00,BUY,9,4211.59,4213.034377319925,1.4443773199246102,1.0,tp
XAU,rsi_reversal_30_70,2025-12-11 09:50:00+00:00,2025-12-11 09:53:00+00:00,SELL,3,4219.56,4218.018701622401,1.54129837759992,1.0,tp
XAU,rsi_reversal_30_70,2025-12-11 10:09:00+00:00,2025-12-11 10:12:00+00:00,SELL,3,4223.26,4221.749692342401,1.5103076575991836,1.0,tp
XAU,rsi_reversal_30_70,2025-12-11 10:31:00+00:00,2025-12-11 10:37:00+00:00,BUY,6,4214.97,4212.888772262883,2.0812277371171204,-1.0,sl
XAU,rsi_reversal_30_70,2025-12-11 12:03:00+00:00,2025-12-11 12:04:00+00:00,BUY,1,4210.27,4211.442161749774,1.1721617497728993,1.0,tp
XAU,rsi_reversal_30_70,2025-12-11 12:27:00+00:00,2025-12-11 12:28:00+00:00,SELL,1,4216.61,4217.828179327822,1.218179327822197,-1.0,sl
XAU,rsi_reversal_30_70,2025-12-11 13:11:00+00:00,2025-12-11 13:13:00+00:00,BUY,2,4212.48,4210.674030815835,1.8059691841645824,-1.0,sl
XAU,rsi_reversal_30_70,2025-12-11 13:19:00+00:00,2025-12-11 13:20:00+00:00,BUY,1,4209.49,4207.132678822307,2.3573211776925036,-1.0,sl
XAU,rsi_reversal_30_70,2025-12-11 13:43:00+00:00,2025-12-11 13:49:00+00:00,SELL,6,4220.07,4222.392105669444,2.3221056694447664,-1.0,sl
XAU,rsi_reversal_30_70,2025-12-11 13:51:00+00:00,2025-12-11 14:01:00+00:00,SELL,10,4221.3,4221.64,1.9097900028466546,-0.17803004492292634,timeout
XAU,rsi_reversal_30_70,2025-12-11 14:09:00+00:00,2025-12-11 14:10:00+00:00,SELL,1,4224.22,4226.470775958574,2.2507759585739042,-1.0,sl
XAU,rsi_reversal_30_70,2025-12-11 14:12:00+00:00,2025-12-11 14:15:00+00:00,SELL,3,4227.28,4229.636146601773,2.356146601773999,-1.0,sl
XAU,rsi_reversal_30_70,2025-12-11 14:40:00+00:00,2025-12-11 14:43:00+00:00,SELL,3,4238.88,4241.399791917139,2.5197919171388685,-1.0,sl
XAU,rsi_reversal_30_70,2025-12-11 14:45:00+00:00,2025-12-11 14:48:00+00:00,SELL,3,4239.74,4236.744982386449,2.995017613551001,1.0,tp
