asset,strategy,entry_time,exit_time,direction,bars_held,entry,exit,atr_entry,pnl_r,exit_reason
XAU,stoch_reversal,2025-12-09 21:24:00+00:00,2025-12-09 21:30:00+00:00,BUY,6,4208.61,4207.5523058439485,1.0576941560510875,-1.0,sl
XAU,stoch_reversal,2025-12-09 21:53:00+00:00,2025-12-09 21:56:00+00:00,SELL,3,4213.04,4214.250759073429,1.2107590734297684,-1.0,sl
XAU,stoch_reversal,2025-12-09 22:03:00+00:00,2025-12-09 22:04:00+00:00,SELL,1,4214.13,4212.9268943136585,1.203105686341736,1.0,tp
XAU,stoch_reversal,2025-12-09 22:08:00+00:00,2025-12-09 22:10:00+00:00,BUY,2,4212.7,4213.867943215932,1.1679432159325358,1.0,tp
XAU,stoch_reversal,2025-12-09 22:21:00+00:00,2025-12-09 22:22:00+00:00,BUY,1,4212.09,4211.061284242032,1.0287157579674733,-1.0,sl
XAU,stoch_reversal,2025-12-09 22:24:00+00:00,2025-12-09 22:26:00+00:00,BUY,2,4210.38,4209.34063747548,1.0393625245198377,-1.0,sl
XAU,stoch_reversal,2025-12-09 22:48:00+00:00,2025-12-09 22:53:00+00:00,SELL,5,4213.03,4212.146208505758,0.8837914942411117,1.0,tp
XAU,stoch_reversal,2025-12-09 23:18:00+00:00,2025-12-09 23:28:00+00:00,BUY,10,4209.89,4209.96,0.9016895153156881,0.0776320438584688,timeout
XAU,stoch_reversal,2025-12-09 23:34:00+00:00,2025-12-09 23:41:00+00:00,BUY,7,4208.93,4209.532189657154,0.6021896571540941,1.0,tp
XAU,stoch_reversal,2025-12-10 01:02:00+00:00,2025-12-10 01:03:00+00:00,SELL,1,4210.27,4209.47193721999,0.7980627800110605,1.0,tp
XAU,stoch_reversal,2025-12-10 01:29:00+00:00,2025-12-10 01:30:00+00:00,SELL,1,4210.44,4209.545649155156,0.8943508448441939,1.0,tp
XAU,stoch_reversal,2025-12-10 01:35:00+00:00,2025-12-10 01:40:00+00:00,SELL,5,4210.3,4209.4625422813015,0.8374577186986724,1.0,tp
XAU,stoch_reversal,2025-12-10 01:47:00+00:00,2025-12-10 01:48:00+00:00,SELL,1,4211.72,4212.527876745731,0.8078767457307673,-1.0,sl
XAU,stoch_reversal,2025-12-10 01:56:00+00:00,2025-12-10 01:59:00+00:00,BUY,3,4210.44,4211.287726822411,0.847726822411773,1.0,tp
XAU,stoch_reversal,2025-12-10 02:41:00+00:00,2025-12-10 02:48:00+00:00,BUY,7,4207.62,4208.335237634897,0.7152376348967959,1.0,tp
XAU,stoch_reversal,2025-12-10 03:08:00+00:00,2025-12-10 03:11:00+00:00,SELL,3,4211.61,4213.065164635684,1.4551646356836478,-1.0,sl
XAU,stoch_reversal,2025-12-10 03:13:00+00:00,2025-12-10 03:17:00+00:00,SELL,4,4214.46,4216.0061844847105,1.5461844847101602,-1.0,sl
XAU,stoch_reversal,2025-12-10 03:19:00+00:00,2025-12-10 03:21:00+00:00,SELL,2,4216.52,4217.987349876453,1.4673498764519395,-1.0,sl
XAU,stoch_reversal,2025-12-10 03:22:00+00:00,2025-12-10 03:23:00+00:00,SELL,1,4217.2,4215.690065873017,1.5099341269822915,1.0,tp
XAU,stoch_reversal,2025-12-10 03:38:00+00:00,2025-12-10 03:42:00+00:00,BUY,4,4208.18,4206.4244112063425,1.7555887936578423,-1.0,sl
XAU,stoch_reversal,2025-12-10 04:06:00+00:00,2025-12-10 04:08:00+00:00,SELL,2,4206.95,4207.7591687267895,0.8091687267896999,-1.0,sl
XAU,stoch_reversal,2025-12-10 04:10:00+00:00,2025-12-10 04:15:00+00:00,SELL,5,4207.71,4208.493221886535,0.7832218865352277,-1.0,sl
XAU,stoch_reversal,2025-12-10 04:39:00+00:00,2025-12-10 04:42:00+00:00,SELL,3,4207.79,4208.526604461063,0.736604461062506,-1.0,sl
XAU,stoch_reversal,2025-12-10 04:52:00+00:00,2025-12-10 04:56:00+00:00,BUY,4,4206.3,4207.12246318048,0.8224631804796392,1.0,tp
XAU,stoch_reversal,2025-12-10 05:04:00+00:00,2025-12-10 05:06:00+00:00,SELL,2,4207.13,4206.5515836249515,0.5784163750487169,1.0,tp
XAU,stoch_reversal,2025-12-10 05:09:00+00:00,2025-12-10 05:12:00+00:00,BUY,3,4205.36,4204.699219317015,0.6607806829840767,-1.0,sl
XAU,stoch_reversal,2025-12-10 05:15:00+00:00,2025-12-10 05:16:00+00:00,BUY,1,4203.97,4203.174657248601,0.7953427513990253,-1.0,sl
XAU,stoch_reversal,2025-12-10 05:18:00+00:00,2025-12-10 05:19:00+00:00,BUY,1,4202.71,4201.879206511164,0.830793488836631,-1.0,sl
XAU,stoch_reversal,2025-12-10 05:30:00+00:00,2025-12-10 05:31:00+00:00,SELL,1,4207.29,4206.076442833843,1.2135571661567064,1.0,tp
XAU,stoch_reversal,2025-12-10 05:33:00+00:00,2025-12-10 05:37:00+00:00,SELL,4,4207.64,4208.922448916755,1.2824489167543156,-1.0,sl
XAU,stoch_reversal,2025-12-10 05:39:00+00:00,2025-12-10 05:45:00+00:00,SELL,6,4210.86,4212.037958631193,1.1779586311927452,-1.0,sl
XAU,stoch_reversal,2025-12-10 05:47:00+00:00,2025-12-10 05:49:00+00:00,SELL,2,4213.82,4212.738093103536,1.0819068964641665,1.0,tp
