asset,strategy,entry_time,exit_time,direction,bars_held,entry,exit,atr_entry,pnl_r,exit_reason
XAU,williams_reversal,2025-12-09 21:13:00+00:00,2025-12-09 21:15:00+00:00,SELL,2,4210.19,4211.335646647523,1.1456466475241245,-1.0,sl
XAU,williams_reversal,2025-12-09 21:18:00+00:00,2025-12-09 21:22:00+00:00,BUY,4,4210.1,4208.97701243694,1.122987563060743,-1.0,sl
XAU,williams_reversal,2025-12-09 21:25:00+00:00,2025-12-09 21:30:00+00:00,BUY,5,4208.79,4207.775998398089,1.0140016019110056,-1.0,sl
XAU,williams_reversal,2025-12-09 21:35:00+00:00,2025-12-09 21:45:00+00:00,SELL,10,4209.01,4208.0534637921955,0.9565362078042638,1.0,tp
XAU,williams_reversal,2025-12-09 21:47:00+00:00,2025-12-09 21:50:00+00:00,BUY,3,4207.96,4208.827906144782,0.8679061447817109,1.0,tp
XAU,williams_reversal,2025-12-09 21:58:00+00:00,2025-12-09 22:00:00+00:00,SELL,2,4212.39,4213.558576301104,1.1685763011040435,-1.0,sl
XAU,williams_reversal,2025-12-09 22:04:00+00:00,2025-12-09 22:08:00+00:00,SELL,4,4212.47,4213.763358261496,1.2933582614961858,-1.0,sl
XAU,williams_reversal,2025-12-09 22:12:00+00:00,2025-12-09 22:16:00+00:00,SELL,4,4214.68,4213.394828519699,1.2851714803012344,1.0,tp
XAU,williams_reversal,2025-12-09 22:28:00+00:00,2025-12-09 22:33:00+00:00,BUY,5,4210.92,4209.926274507401,0.9937254925989374,-1.0,sl
XAU,williams_reversal,2025-12-09 22:37:00+00:00,2025-12-09 22:38:00+00:00,SELL,1,4210.52,4211.4067306678135,0.8867306678127889,-1.0,sl
XAU,williams_reversal,2025-12-09 22:39:00+00:00,2025-12-09 22:41:00+00:00,SELL,2,4211.38,4210.449611187288,0.9303888127126989,1.0,tp
XAU,williams_reversal,2025-12-09 22:52:00+00:00,2025-12-09 22:55:00+00:00,SELL,3,4212.18,4211.353431528553,0.8265684714472347,1.0,tp
XAU,williams_reversal,2025-12-09 23:04:00+00:00,2025-12-09 23:05:00+00:00,BUY,1,4211.19,4212.013040854869,0.8230408548698666,1.0,tp
XAU,williams_reversal,2025-12-09 23:08:00+00:00,2025-12-09 23:09:00+00:00,SELL,1,4212.39,4211.511009978154,0.8789900218457908,1.0,tp
XAU,williams_reversal,2025-12-09 23:18:00+00:00,2025-12-09 23:28:00+00:00,BUY,10,4209.89,4209.96,0.9016895153156881,0.0776320438584688,timeout
XAU,williams_reversal,2025-12-09 23:34:00+00:00,2025-12-09 23:41:00+00:00,BUY,7,4208.93,4209.532189657154,0.6021896571540941,1.0,tp
XAU,williams_reversal,2025-12-09 23:45:00+00:00,2025-12-09 23:46:00+00:00,BUY,1,4208.98,4209.501907170464,0.5219071704641497,1.0,tp
XAU,williams_reversal,2025-12-09 23:52:00+00:00,2025-12-09 23:54:00+00:00,BUY,2,4209.28,4208.677071762563,0.6029282374368203,-1.0,sl
XAU,williams_reversal,2025-12-09 23:55:00+00:00,2025-12-09 23:58:00+00:00,BUY,3,4207.71,4208.415189137081,0.7051891370810599,1.0,tp
XAU,williams_reversal,2025-12-10 01:03:00+00:00,2025-12-10 01:06:00+00:00,SELL,3,4209.01,4209.94832107601,0.938321076009513,-1.0,sl
XAU,williams_reversal,2025-12-10 01:07:00+00:00,2025-12-10 01:09:00+00:00,SELL,2,4209.84,4208.869084676506,0.9709153234943892,1.0,tp
XAU,williams_reversal,2025-12-10 01:16:00+00:00,2025-12-10 01:17:00+00:00,BUY,1,4209.47,4210.461988322952,0.9919883229510782,1.0,tp
XAU,williams_reversal,2025-12-10 01:18:00+00:00,2025-12-10 01:19:00+00:00,SELL,1,4209.59,4208.558595437428,1.0314045625721355,1.0,tp
XAU,williams_reversal,2025-12-10 01:21:00+00:00,2025-12-10 01:22:00+00:00,BUY,1,4208.97,4207.931020496601,1.0389795033988838,-1.0,sl
XAU,williams_reversal,2025-12-10 01:30:00+00:00,2025-12-10 01:33:00+00:00,SELL,3,4209.63,4210.614437398865,0.9844373988649293,-1.0,sl
XAU,williams_reversal,2025-12-10 01:35:00+00:00,2025-12-10 01:40:00+00:00,SELL,5,4210.3,4209.4625422813015,0.8374577186986724,1.0,tp
XAU,williams_reversal,2025-12-10 01:43:00+00:00,2025-12-10 01:44:00+00:00,SELL,1,4210.28,4211.006908730528,0.7269087305280711,-1.0,sl
XAU,williams_reversal,2025-12-10 01:49:00+00:00,2025-12-10 01:51:00+00:00,SELL,2,4211.92,4212.8744496445715,0.9544496445711068,-1.0,sl
XAU,williams_reversal,2025-12-10 01:56:00+00:00,2025-12-10 01:59:00+00:00,BUY,3,4210.44,4211.287726822411,0.847726822411773,1.0,tp
XAU,williams_reversal,2025-12-10 02:02:00+00:00,2025-12-10 02:03:00+00:00,SELL,1,4211.87,4210.9772319336325,0.8927680663669191,1.0,tp
XAU,williams_reversal,2025-12-10 02:07:00+00:00,2025-12-10 02:17:00+00:00,BUY,10,4208.98,4208.91,1.3070284295184367,-0.05355660092680605,timeout
XAU,williams_reversal,2025-12-10 02:22:00+00:00,2025-12-10 02:26:00+00:00,BUY,4,4208.11,4209.051729040072,0.9417290400727478,1.0,tp
XAU,williams_reversal,2025-12-10 02:28:00+00:00,2025-12-10 02:32:00+00:00,SELL,4,4209.02,4208.126371288127,0.8936287118735181,1.0,tp
XAU,williams_reversal,2025-12-10 02:38:00+00:00,2025-12-10 02:40:00+00:00,BUY,2,4208.21,4207.427866628231,0.7821333717690332,-1.0,sl
XAU,williams_reversal,2025-12-10 02:44:00+00:00,2025-12-10 02:48:00+00:00,BUY,4,4207.65,4208.265050987812,0.6150509878127125,1.0,tp
XAU,williams_reversal,2025-12-10 02:50:00+00:00,2025-12-10 02:52:00+00:00,SELL,2,4208.62,4208.07035642,0.549643579999622,1.0,tp
XAU,williams_reversal,2025-12-10 02:58:00+00:00,2025-12-10 02:59:00+00:00,SELL,1,4208.83,4208.086795614746,0.7432043852539509,1.0,tp
XAU,williams_reversal,2025-12-10 03:04:00+00:00,2025-12-10 03:06:00+00:00,BUY,2,4209.49,4211.0018157516015,1.5118157516014534,1.0,tp
XAU,williams_reversal,2025-12-10 03:09:00+00:00,2025-12-10 03:11:00+00:00,SELL,2,4210.89,4212.324476017593,1.4344760175923978,-1.0,sl
XAU,williams_reversal,2025-12-10 03:23:00+00:00,2025-12-10 03:25:00+00:00,SELL,2,4215.31,4213.741390423283,1.5686095767179618,1.0,tp
XAU,williams_reversal,2025-12-10 03:27:00+00:00,2025-12-10 03:29:00+00:00,BUY,2,4215.0,4216.709913641889,1.7099136418892698,1.0,tp
XAU,williams_reversal,2025-12-10 03:47:00+00:00,2025-12-10 03:48:00+00:00,BUY,1,4208.3,4207.204306070905,1.0956939290951342,-1.0,sl
XAU,williams_reversal,2025-12-10 03:50:00+00:00,2025-12-10 03:52:00+00:00,BUY,2,4207.19,4206.1884297593415,1.0015702406585003,-1.0,sl
XAU,williams_reversal,2025-12-10 03:56:00+00:00,2025-12-10 04:03:00+00:00,BUY,7,4205.6,4206.838065195873,1.2380651958731437,1.0,tp
XAU,williams_reversal,2025-12-10 04:11:00+00:00,2025-12-10 04:14:00+00:00,SELL,3,4207.4,4208.14545896833,0.7454589683305307,-1.0,sl
XAU,williams_reversal,2025-12-10 04:16:00+00:00,2025-12-10 04:18:00+00:00,SELL,2,4208.34,4207.5932901178885,0.7467098821112866,1.0,tp
XAU,williams_reversal,2025-12-10 04:23:00+00:00,2025-12-10 04:30:00+00:00,BUY,7,4206.94,4206.116839494633,0.8231605053672151,-1.0,sl
XAU,williams_reversal,2025-12-10 04:31:00+00:00,2025-12-10 04:36:00+00:00,BUY,5,4206.42,4207.24139923823,0.8213992382300829,1.0,tp
XAU,williams_reversal,2025-12-10 04:42:00+00:00,2025-12-10 04:43:00+00:00,SELL,1,4208.74,4209.6100325928755,0.8700325928753291,-1.0,sl
XAU,williams_reversal,2025-12-10 04:44:00+00:00,2025-12-10 04:50:00+00:00,SELL,6,4207.53,4206.4920644080175,1.0379355919819462,1.0,tp
XAU,williams_reversal,2025-12-10 04:54:00+00:00,2025-12-10 04:57:00+00:00,BUY,3,4206.64,4207.3897612333385,0.749761233338019,1.0,tp
XAU,williams_reversal,2025-12-10 04:59:00+00:00,2025-12-10 05:06:00+00:00,SELL,7,4207.07,4206.454248734011,0.6157512659882058,1.0,tp
XAU,williams_reversal,2025-12-10 05:20:00+00:00,2025-12-10 05:21:00+00:00,BUY,1,4202.94,4203.809351553837,0.8693515538371817,1.0,tp
